vout	I(Iout)
8.700000000000003e-003	2.613054e-006
8.800000000000002e-003	2.610320e-006
8.900000000000002e-003	2.607587e-006
9.000000000000001e-003	2.604856e-006
9.100000000000000e-003	2.602126e-006
9.200000000000000e-003	2.599399e-006
9.299999999999999e-003	2.596673e-006
9.399999999999999e-003	2.593949e-006
9.499999999999998e-003	2.591226e-006
9.599999999999997e-003	2.588505e-006
9.699999999999997e-003	2.585786e-006
9.799999999999996e-003	2.583069e-006
9.899999999999996e-003	2.580354e-006
9.999999999999995e-003	2.577640e-006
1.009999999999999e-002	2.574928e-006
1.019999999999999e-002	2.572218e-006
1.029999999999999e-002	2.569509e-006
1.039999999999999e-002	2.566803e-006
1.049999999999999e-002	2.564097e-006
1.059999999999999e-002	2.561394e-006
1.069999999999999e-002	2.558693e-006
1.079999999999999e-002	2.555993e-006
1.089999999999999e-002	2.553295e-006
1.099999999999999e-002	2.550599e-006
1.109999999999999e-002	2.547904e-006
1.119999999999999e-002	2.545211e-006
1.129999999999999e-002	2.542520e-006
1.139999999999999e-002	2.539831e-006
1.149999999999999e-002	2.537143e-006
1.159999999999999e-002	2.534457e-006
1.169999999999999e-002	2.531773e-006
1.179999999999998e-002	2.529091e-006
1.189999999999998e-002	2.526410e-006
1.199999999999998e-002	2.523731e-006
1.209999999999998e-002	2.521054e-006
1.219999999999998e-002	2.518379e-006
1.229999999999998e-002	2.515705e-006
1.239999999999998e-002	2.513033e-006
1.249999999999998e-002	2.510363e-006
1.259999999999998e-002	2.507694e-006
1.269999999999998e-002	2.505027e-006
1.279999999999998e-002	2.502362e-006
1.289999999999998e-002	2.499699e-006
1.299999999999998e-002	2.497037e-006
1.309999999999998e-002	2.494378e-006
1.319999999999998e-002	2.491720e-006
1.329999999999998e-002	2.489063e-006
1.339999999999997e-002	2.486409e-006
1.349999999999997e-002	2.483756e-006
1.359999999999997e-002	2.481105e-006
1.369999999999997e-002	2.478455e-006
1.379999999999997e-002	2.475808e-006
1.389999999999997e-002	2.473162e-006
1.399999999999997e-002	2.470518e-006
1.409999999999997e-002	2.467875e-006
1.419999999999997e-002	2.465234e-006
1.429999999999997e-002	2.462595e-006
1.439999999999997e-002	2.459958e-006
1.449999999999997e-002	2.457322e-006
1.459999999999997e-002	2.454689e-006
1.469999999999997e-002	2.452057e-006
1.479999999999997e-002	2.449426e-006
1.489999999999997e-002	2.446798e-006
1.499999999999997e-002	2.444171e-006
1.509999999999996e-002	2.441546e-006
1.519999999999996e-002	2.438922e-006
1.529999999999996e-002	2.436301e-006
1.539999999999996e-002	2.433680e-006
1.549999999999996e-002	2.431062e-006
1.559999999999996e-002	2.428446e-006
1.569999999999996e-002	2.425831e-006
1.579999999999996e-002	2.423218e-006
1.589999999999996e-002	2.420607e-006
1.599999999999996e-002	2.417997e-006
1.609999999999996e-002	2.415389e-006
1.619999999999996e-002	2.412783e-006
1.629999999999996e-002	2.410179e-006
1.639999999999996e-002	2.407576e-006
1.649999999999996e-002	2.404975e-006
1.659999999999996e-002	2.402376e-006
1.669999999999995e-002	2.399779e-006
1.679999999999995e-002	2.397183e-006
1.689999999999995e-002	2.394589e-006
1.699999999999995e-002	2.391997e-006
1.709999999999995e-002	2.389406e-006
1.719999999999995e-002	2.386817e-006
1.729999999999995e-002	2.384230e-006
1.739999999999995e-002	2.381645e-006
1.749999999999995e-002	2.379061e-006
1.759999999999995e-002	2.376479e-006
1.769999999999995e-002	2.373899e-006
1.779999999999995e-002	2.371320e-006
1.789999999999995e-002	2.368743e-006
1.799999999999995e-002	2.366168e-006
1.809999999999995e-002	2.363595e-006
1.819999999999995e-002	2.361024e-006
1.829999999999995e-002	2.358454e-006
1.839999999999994e-002	2.355886e-006
1.849999999999994e-002	2.353319e-006
1.859999999999994e-002	2.350755e-006
1.869999999999994e-002	2.348192e-006
1.879999999999994e-002	2.345630e-006
1.889999999999994e-002	2.343071e-006
1.899999999999994e-002	2.340513e-006
1.909999999999994e-002	2.337957e-006
1.919999999999994e-002	2.335403e-006
1.929999999999994e-002	2.332850e-006
1.939999999999994e-002	2.330299e-006
1.949999999999994e-002	2.327750e-006
1.959999999999994e-002	2.325202e-006
1.969999999999994e-002	2.322657e-006
1.979999999999994e-002	2.320113e-006
1.989999999999994e-002	2.317570e-006
1.999999999999993e-002	2.315030e-006
2.009999999999993e-002	2.312491e-006
2.019999999999993e-002	2.309954e-006
2.029999999999993e-002	2.307418e-006
2.039999999999993e-002	2.304884e-006
2.049999999999993e-002	2.302353e-006
2.059999999999993e-002	2.299822e-006
2.069999999999993e-002	2.297294e-006
2.079999999999993e-002	2.294767e-006
2.089999999999993e-002	2.292242e-006
2.099999999999993e-002	2.289718e-006
2.109999999999993e-002	2.287197e-006
2.119999999999993e-002	2.284677e-006
2.129999999999993e-002	2.282158e-006
2.139999999999993e-002	2.279642e-006
2.149999999999993e-002	2.277127e-006
2.159999999999993e-002	2.274614e-006
2.169999999999992e-002	2.272103e-006
2.179999999999992e-002	2.269593e-006
2.189999999999992e-002	2.267085e-006
2.199999999999992e-002	2.264579e-006
2.209999999999992e-002	2.262074e-006
2.219999999999992e-002	2.259572e-006
2.229999999999992e-002	2.257070e-006
2.239999999999992e-002	2.254571e-006
2.249999999999992e-002	2.252074e-006
2.259999999999992e-002	2.249577e-006
2.269999999999992e-002	2.247083e-006
2.279999999999992e-002	2.244591e-006
2.289999999999992e-002	2.242100e-006
2.299999999999992e-002	2.239611e-006
2.309999999999992e-002	2.237123e-006
2.319999999999992e-002	2.234638e-006
2.329999999999992e-002	2.232154e-006
2.339999999999991e-002	2.229672e-006
2.349999999999991e-002	2.227191e-006
2.359999999999991e-002	2.224712e-006
2.369999999999991e-002	2.222235e-006
2.379999999999991e-002	2.219760e-006
2.389999999999991e-002	2.217286e-006
2.399999999999991e-002	2.214814e-006
2.409999999999991e-002	2.212344e-006
2.419999999999991e-002	2.209875e-006
2.429999999999991e-002	2.207408e-006
2.439999999999991e-002	2.204943e-006
2.449999999999991e-002	2.202480e-006
2.459999999999991e-002	2.200018e-006
2.469999999999991e-002	2.197558e-006
2.479999999999991e-002	2.195100e-006
2.489999999999991e-002	2.192643e-006
2.499999999999990e-002	2.190189e-006
2.509999999999990e-002	2.187735e-006
2.519999999999990e-002	2.185284e-006
2.529999999999990e-002	2.182834e-006
2.539999999999990e-002	2.180386e-006
2.549999999999990e-002	2.177940e-006
2.559999999999990e-002	2.175495e-006
2.569999999999990e-002	2.173052e-006
2.579999999999990e-002	2.170611e-006
2.589999999999990e-002	2.168171e-006
2.599999999999990e-002	2.165734e-006
2.609999999999990e-002	2.163297e-006
2.619999999999990e-002	2.160863e-006
2.629999999999990e-002	2.158430e-006
2.639999999999990e-002	2.155999e-006
2.649999999999990e-002	2.153570e-006
2.659999999999990e-002	2.151143e-006
2.669999999999989e-002	2.148717e-006
2.679999999999989e-002	2.146292e-006
2.689999999999989e-002	2.143870e-006
2.699999999999989e-002	2.141449e-006
2.709999999999989e-002	2.139030e-006
2.719999999999989e-002	2.136613e-006
2.729999999999989e-002	2.134197e-006
2.739999999999989e-002	2.131783e-006
2.749999999999989e-002	2.129371e-006
2.759999999999989e-002	2.126960e-006
2.769999999999989e-002	2.124552e-006
2.779999999999989e-002	2.122144e-006
2.789999999999989e-002	2.119739e-006
2.799999999999989e-002	2.117335e-006
2.809999999999989e-002	2.114933e-006
2.819999999999989e-002	2.112533e-006
2.829999999999988e-002	2.110134e-006
2.839999999999988e-002	2.107737e-006
2.849999999999988e-002	2.105342e-006
2.859999999999988e-002	2.102949e-006
2.869999999999988e-002	2.100557e-006
2.879999999999988e-002	2.098167e-006
2.889999999999988e-002	2.095778e-006
2.899999999999988e-002	2.093391e-006
2.909999999999988e-002	2.091006e-006
2.919999999999988e-002	2.088623e-006
2.929999999999988e-002	2.086241e-006
2.939999999999988e-002	2.083861e-006
2.949999999999988e-002	2.081483e-006
2.959999999999988e-002	2.079106e-006
2.969999999999988e-002	2.076732e-006
2.979999999999988e-002	2.074358e-006
2.989999999999988e-002	2.071987e-006
2.999999999999987e-002	2.069617e-006
3.009999999999987e-002	2.067249e-006
3.019999999999987e-002	2.064883e-006
3.029999999999987e-002	2.062518e-006
3.039999999999987e-002	2.060155e-006
3.049999999999987e-002	2.057794e-006
3.059999999999987e-002	2.055434e-006
3.069999999999987e-002	2.053076e-006
3.079999999999987e-002	2.050720e-006
3.089999999999987e-002	2.048366e-006
3.099999999999987e-002	2.046013e-006
3.109999999999987e-002	2.043662e-006
3.119999999999987e-002	2.041312e-006
3.129999999999987e-002	2.038965e-006
3.139999999999987e-002	2.036618e-006
3.149999999999988e-002	2.034274e-006
3.159999999999988e-002	2.031931e-006
3.169999999999988e-002	2.029590e-006
3.179999999999988e-002	2.027251e-006
3.189999999999989e-002	2.024914e-006
3.199999999999989e-002	2.022578e-006
3.209999999999989e-002	2.020243e-006
3.219999999999990e-002	2.017911e-006
3.229999999999990e-002	2.015580e-006
3.239999999999990e-002	2.013251e-006
3.249999999999990e-002	2.010923e-006
3.259999999999991e-002	2.008598e-006
3.269999999999991e-002	2.006273e-006
3.279999999999991e-002	2.003951e-006
3.289999999999992e-002	2.001630e-006
3.299999999999992e-002	1.999312e-006
3.309999999999992e-002	1.996994e-006
3.319999999999992e-002	1.994679e-006
3.329999999999993e-002	1.992365e-006
3.339999999999993e-002	1.990052e-006
3.349999999999993e-002	1.987742e-006
3.359999999999994e-002	1.985433e-006
3.369999999999994e-002	1.983125e-006
3.379999999999994e-002	1.980820e-006
3.389999999999994e-002	1.978516e-006
3.399999999999995e-002	1.976214e-006
3.409999999999995e-002	1.973914e-006
3.419999999999995e-002	1.971615e-006
3.429999999999996e-002	1.969318e-006
3.439999999999996e-002	1.967022e-006
3.449999999999996e-002	1.964729e-006
3.459999999999996e-002	1.962436e-006
3.469999999999997e-002	1.960146e-006
3.479999999999997e-002	1.957858e-006
3.489999999999997e-002	1.955570e-006
3.499999999999998e-002	1.953285e-006
3.509999999999998e-002	1.951002e-006
3.519999999999998e-002	1.948720e-006
3.529999999999998e-002	1.946439e-006
3.539999999999999e-002	1.944161e-006
3.549999999999999e-002	1.941884e-006
3.559999999999999e-002	1.939609e-006
3.570000000000000e-002	1.937335e-006
3.580000000000000e-002	1.935063e-006
3.590000000000000e-002	1.932793e-006
3.600000000000000e-002	1.930525e-006
