vout	I(Iout)
8.300000000000005e-003	4.309498e-008
8.400000000000005e-003	4.295595e-008
8.500000000000004e-003	4.281735e-008
8.600000000000004e-003	4.267919e-008
8.700000000000003e-003	4.254145e-008
8.800000000000002e-003	4.240414e-008
8.900000000000002e-003	4.226725e-008
9.000000000000001e-003	4.213079e-008
9.100000000000000e-003	4.199476e-008
9.200000000000000e-003	4.185915e-008
9.299999999999999e-003	4.172396e-008
9.399999999999999e-003	4.158919e-008
9.499999999999998e-003	4.145485e-008
9.599999999999997e-003	4.132092e-008
9.699999999999997e-003	4.118741e-008
9.799999999999996e-003	4.105432e-008
9.899999999999996e-003	4.092164e-008
9.999999999999995e-003	4.078938e-008
1.009999999999999e-002	4.065753e-008
1.019999999999999e-002	4.052609e-008
1.029999999999999e-002	4.039507e-008
1.039999999999999e-002	4.026446e-008
1.049999999999999e-002	4.013425e-008
1.059999999999999e-002	4.000446e-008
1.069999999999999e-002	3.987507e-008
1.079999999999999e-002	3.974609e-008
1.089999999999999e-002	3.961751e-008
1.099999999999999e-002	3.948934e-008
1.109999999999999e-002	3.936157e-008
1.119999999999999e-002	3.923421e-008
1.129999999999999e-002	3.910724e-008
1.139999999999999e-002	3.898067e-008
1.149999999999999e-002	3.885451e-008
1.159999999999999e-002	3.872874e-008
1.169999999999999e-002	3.860337e-008
1.179999999999998e-002	3.847839e-008
1.189999999999998e-002	3.835381e-008
1.199999999999998e-002	3.822962e-008
1.209999999999998e-002	3.810583e-008
1.219999999999998e-002	3.798242e-008
1.229999999999998e-002	3.785941e-008
1.239999999999998e-002	3.773679e-008
1.249999999999998e-002	3.761456e-008
1.259999999999998e-002	3.749271e-008
1.269999999999998e-002	3.737125e-008
1.279999999999998e-002	3.725017e-008
1.289999999999998e-002	3.712949e-008
1.299999999999998e-002	3.700918e-008
1.309999999999998e-002	3.688925e-008
1.319999999999998e-002	3.676971e-008
1.329999999999998e-002	3.665055e-008
1.339999999999997e-002	3.653177e-008
1.349999999999997e-002	3.641336e-008
1.359999999999997e-002	3.629534e-008
1.369999999999997e-002	3.617769e-008
1.379999999999997e-002	3.606041e-008
1.389999999999997e-002	3.594351e-008
1.399999999999997e-002	3.582699e-008
1.409999999999997e-002	3.571083e-008
1.419999999999997e-002	3.559505e-008
1.429999999999997e-002	3.547963e-008
1.439999999999997e-002	3.536459e-008
1.449999999999997e-002	3.524991e-008
1.459999999999997e-002	3.513561e-008
1.469999999999997e-002	3.502166e-008
1.479999999999997e-002	3.490809e-008
1.489999999999997e-002	3.479488e-008
1.499999999999997e-002	3.468203e-008
1.509999999999996e-002	3.456954e-008
1.519999999999996e-002	3.445742e-008
1.529999999999996e-002	3.434565e-008
1.539999999999996e-002	3.423425e-008
1.549999999999996e-002	3.412320e-008
1.559999999999996e-002	3.401251e-008
1.569999999999996e-002	3.390218e-008
1.579999999999996e-002	3.379220e-008
1.589999999999996e-002	3.368258e-008
1.599999999999996e-002	3.357331e-008
1.609999999999996e-002	3.346440e-008
1.619999999999996e-002	3.335583e-008
1.629999999999996e-002	3.324762e-008
1.639999999999996e-002	3.313975e-008
1.649999999999996e-002	3.303224e-008
1.659999999999996e-002	3.292507e-008
1.669999999999995e-002	3.281825e-008
1.679999999999995e-002	3.271177e-008
1.689999999999995e-002	3.260564e-008
1.699999999999995e-002	3.249986e-008
1.709999999999995e-002	3.239441e-008
1.719999999999995e-002	3.228931e-008
1.729999999999995e-002	3.218455e-008
1.739999999999995e-002	3.208013e-008
1.749999999999995e-002	3.197605e-008
1.759999999999995e-002	3.187230e-008
1.769999999999995e-002	3.176890e-008
1.779999999999995e-002	3.166583e-008
1.789999999999995e-002	3.156310e-008
1.799999999999995e-002	3.146070e-008
1.809999999999995e-002	3.135863e-008
1.819999999999995e-002	3.125690e-008
1.829999999999995e-002	3.115549e-008
1.839999999999994e-002	3.105442e-008
1.849999999999994e-002	3.095368e-008
1.859999999999994e-002	3.085327e-008
1.869999999999994e-002	3.075318e-008
1.879999999999994e-002	3.065343e-008
1.889999999999994e-002	3.055400e-008
1.899999999999994e-002	3.045489e-008
1.909999999999994e-002	3.035611e-008
1.919999999999994e-002	3.025765e-008
