v1	V(vout)
0.000000000000000e+00	4.845200e-07
1.000000000000000e-02	4.853175e-07
2.000000000000000e-02	4.865040e-07
3.000000000000000e-02	4.878719e-07
4.000000000000000e-02	4.895758e-07
5.000000000000000e-02	4.917002e-07
6.000000000000000e-02	4.943518e-07
7.000000000000001e-02	4.976646e-07
8.000000000000000e-02	5.018080e-07
9.000000000000000e-02	5.069952e-07
9.999999999999999e-02	5.134953e-07
1.100000000000000e-01	5.216489e-07
1.200000000000000e-01	5.318861e-07
1.300000000000000e-01	5.447523e-07
1.400000000000000e-01	5.609381e-07
1.500000000000000e-01	5.813189e-07
1.600000000000000e-01	6.070069e-07
1.700000000000000e-01	6.394143e-07
1.800000000000000e-01	6.803367e-07
1.900000000000000e-01	7.320590e-07
2.000000000000000e-01	7.974899e-07
2.100000000000000e-01	8.803348e-07
2.200000000000001e-01	9.853170e-07
2.300000000000001e-01	1.118460e-06
2.400000000000001e-01	1.287448e-06
2.500000000000001e-01	1.502093e-06
2.600000000000001e-01	1.774924e-06
2.700000000000001e-01	2.121954e-06
2.800000000000001e-01	2.563655e-06
2.900000000000001e-01	3.126215e-06
3.000000000000001e-01	3.843153e-06
3.100000000000001e-01	4.757386e-06
3.200000000000001e-01	5.923892e-06
3.300000000000001e-01	7.413126e-06
3.400000000000001e-01	9.315404e-06
3.500000000000001e-01	1.174653e-05
3.600000000000002e-01	1.485501e-05
3.700000000000002e-01	1.883130e-05
3.800000000000002e-01	2.391959e-05
3.900000000000002e-01	3.043290e-05
4.000000000000002e-01	3.877226e-05
4.100000000000002e-01	4.945091e-05
4.200000000000002e-01	6.312498e-05
4.300000000000002e-01	8.063173e-05
4.400000000000002e-01	1.030371e-04
4.500000000000002e-01	1.316939e-04
4.600000000000002e-01	1.683126e-04
4.700000000000003e-01	2.150446e-04
4.800000000000003e-01	2.745795e-04
4.900000000000003e-01	3.502537e-04
5.000000000000002e-01	4.461670e-04
5.100000000000002e-01	5.672998e-04
5.200000000000002e-01	7.196192e-04
5.300000000000002e-01	9.101565e-04
5.400000000000003e-01	1.147036e-03
5.500000000000003e-01	1.439429e-03
5.600000000000003e-01	1.797414e-03
5.700000000000003e-01	2.231733e-03
5.800000000000003e-01	2.753447e-03
5.900000000000003e-01	3.373516e-03
6.000000000000003e-01	4.102366e-03
6.100000000000003e-01	4.949467e-03
6.200000000000003e-01	5.923016e-03
6.300000000000003e-01	7.029711e-03
6.400000000000003e-01	8.274664e-03
6.500000000000004e-01	9.661426e-03
6.600000000000004e-01	1.119209e-02
6.700000000000004e-01	1.286748e-02
6.800000000000004e-01	1.468731e-02
6.900000000000004e-01	1.665045e-02
7.000000000000004e-01	1.875506e-02
7.100000000000004e-01	2.099879e-02
7.200000000000004e-01	2.337894e-02
7.300000000000004e-01	2.589257e-02
7.400000000000004e-01	2.853661e-02
7.500000000000004e-01	3.130790e-02
7.600000000000005e-01	3.420332e-02
7.700000000000005e-01	3.721979e-02
7.800000000000005e-01	4.035430e-02
7.900000000000005e-01	4.360395e-02
8.000000000000005e-01	4.696598e-02
8.100000000000005e-01	5.043773e-02
8.200000000000005e-01	5.401670e-02
8.300000000000005e-01	5.770055e-02
8.400000000000005e-01	6.148705e-02
8.500000000000005e-01	6.537412e-02
8.600000000000005e-01	6.935982e-02
8.700000000000006e-01	7.344236e-02
8.800000000000006e-01	7.762005e-02
8.900000000000006e-01	8.189135e-02
9.000000000000006e-01	8.625482e-02
9.100000000000006e-01	9.070915e-02
9.200000000000006e-01	9.525313e-02
9.300000000000006e-01	9.988567e-02
