2.200000000000000e+000	-1.083929e-007
2.200100000000000e+000	-1.083928e-007
2.200200000000001e+000	-1.083927e-007
2.200300000000001e+000	-1.083926e-007
2.200400000000001e+000	-1.083924e-007
2.200500000000001e+000	-1.083923e-007
2.200600000000001e+000	-1.083922e-007
2.200700000000002e+000	-1.083921e-007
2.200800000000002e+000	-1.083920e-007
2.200900000000002e+000	-1.083919e-007
2.201000000000002e+000	-1.083918e-007
2.201100000000003e+000	-1.083917e-007
2.201200000000003e+000	-1.083915e-007
2.201300000000003e+000	-1.083914e-007
2.201400000000003e+000	-1.083913e-007
2.201500000000003e+000	-1.083912e-007
2.201600000000004e+000	-1.083911e-007
2.201700000000004e+000	-1.083910e-007
2.201800000000004e+000	-1.083909e-007
2.201900000000004e+000	-1.083907e-007
2.202000000000004e+000	-1.083906e-007
2.202100000000005e+000	-1.083905e-007
2.202200000000005e+000	-1.083904e-007
2.202300000000005e+000	-1.083903e-007
2.202400000000005e+000	-1.083902e-007
2.202500000000006e+000	-1.083900e-007
2.202600000000006e+000	-1.083899e-007
2.202700000000006e+000	-1.083898e-007
2.202800000000006e+000	-1.083897e-007
2.202900000000006e+000	-1.083896e-007
2.203000000000007e+000	-1.083895e-007
2.203100000000007e+000	-1.083893e-007
2.203200000000007e+000	-1.083892e-007
2.203300000000007e+000	-1.083891e-007
2.203400000000007e+000	-1.083890e-007
2.203500000000008e+000	-1.083888e-007
2.203600000000008e+000	-1.083887e-007
2.203700000000008e+000	-1.083886e-007
2.203800000000008e+000	-1.083885e-007
2.203900000000008e+000	-1.083884e-007
2.204000000000009e+000	-1.083882e-007
2.204100000000009e+000	-1.083881e-007
2.204200000000009e+000	-1.083880e-007
2.204300000000009e+000	-1.083879e-007
2.204400000000010e+000	-1.083877e-007
2.204500000000010e+000	-1.083876e-007
2.204600000000010e+000	-1.083875e-007
2.204700000000010e+000	-1.083874e-007
2.204800000000010e+000	-1.083872e-007
2.204900000000011e+000	-1.083871e-007
2.205000000000011e+000	-1.083870e-007
2.205100000000011e+000	-1.083869e-007
2.205200000000011e+000	-1.083867e-007
2.205300000000011e+000	-1.083866e-007
2.205400000000012e+000	-1.083865e-007
2.205500000000012e+000	-1.083863e-007
2.205600000000012e+000	-1.083862e-007
2.205700000000012e+000	-1.083861e-007
2.205800000000012e+000	-1.083860e-007
2.205900000000013e+000	-1.083858e-007
2.206000000000013e+000	-1.083857e-007
2.206100000000013e+000	-1.083856e-007
2.206200000000013e+000	-1.083854e-007
2.206300000000014e+000	-1.083853e-007
2.206400000000014e+000	-1.083852e-007
2.206500000000014e+000	-1.083850e-007
2.206600000000014e+000	-1.083849e-007
2.206700000000014e+000	-1.083848e-007
2.206800000000015e+000	-1.083846e-007
2.206900000000015e+000	-1.083845e-007
2.207000000000015e+000	-1.083844e-007
2.207100000000015e+000	-1.083842e-007
2.207200000000015e+000	-1.083841e-007
2.207300000000016e+000	-1.083840e-007
2.207400000000016e+000	-1.083838e-007
2.207500000000016e+000	-1.083837e-007
2.207600000000016e+000	-1.083835e-007
2.207700000000016e+000	-1.083834e-007
2.207800000000017e+000	-1.083833e-007
2.207900000000017e+000	-1.083831e-007
2.208000000000017e+000	-1.083830e-007
2.208100000000017e+000	-1.083828e-007
2.208200000000018e+000	-1.083827e-007
2.208300000000018e+000	-1.083826e-007
2.208400000000018e+000	-1.083824e-007
2.208500000000018e+000	-1.083823e-007
2.208600000000018e+000	-1.083821e-007
2.208700000000019e+000	-1.083820e-007
2.208800000000019e+000	-1.083819e-007
2.208900000000019e+000	-1.083817e-007
2.209000000000019e+000	-1.083816e-007
2.209100000000019e+000	-1.083814e-007
2.209200000000020e+000	-1.083813e-007
2.209300000000020e+000	-1.083811e-007
2.209400000000020e+000	-1.083810e-007
