v1	V(n005)	I(I1)	I(I2)	I(Ib)
3.663999999999993e+00	2.611397e+00	1.108788e-11	9.820938e-08	9.819114e-08
3.664999999999993e+00	2.611397e+00	1.119884e-11	9.820926e-08	9.819114e-08
3.665999999999993e+00	2.611398e+00	1.131338e-11	9.820915e-08	9.819114e-08
3.666999999999993e+00	2.611398e+00	1.143160e-11	9.820904e-08	9.819114e-08
3.667999999999993e+00	2.611398e+00	1.155362e-11	9.820891e-08	9.819114e-08
3.668999999999992e+00	2.611398e+00	1.167957e-11	9.820879e-08	9.819114e-08
3.669999999999992e+00	2.611398e+00	1.180957e-11	9.820865e-08	9.819114e-08
3.670999999999992e+00	2.611398e+00	1.194376e-11	9.820852e-08	9.819114e-08
3.671999999999992e+00	2.611398e+00	1.208225e-11	9.820838e-08	9.819114e-08
3.672999999999992e+00	2.611398e+00	1.222521e-11	9.820824e-08	9.819114e-08
3.673999999999992e+00	2.611398e+00	1.237276e-11	9.820809e-08	9.819114e-08
3.674999999999992e+00	2.611398e+00	1.252506e-11	9.820794e-08	9.819114e-08
3.675999999999992e+00	2.611398e+00	1.268226e-11	9.820779e-08	9.819114e-08
3.676999999999992e+00	2.611398e+00	1.284452e-11	9.820762e-08	9.819114e-08
3.677999999999991e+00	2.611398e+00	1.301200e-11	9.820745e-08	9.819114e-08
3.678999999999991e+00	2.611398e+00	1.318487e-11	9.820728e-08	9.819114e-08
3.679999999999991e+00	2.611398e+00	1.336330e-11	9.820710e-08	9.819114e-08
3.680999999999991e+00	2.611398e+00	1.354748e-11	9.820692e-08	9.819114e-08
3.681999999999991e+00	2.611398e+00	1.373757e-11	9.820673e-08	9.819114e-08
3.682999999999991e+00	2.611398e+00	1.393378e-11	9.820653e-08	9.819114e-08
3.683999999999991e+00	2.611398e+00	1.413631e-11	9.820633e-08	9.819114e-08
3.684999999999991e+00	2.611398e+00	1.434536e-11	9.820612e-08	9.819114e-08
3.685999999999991e+00	2.611399e+00	1.456113e-11	9.820591e-08	9.819114e-08
3.686999999999991e+00	2.611399e+00	1.478385e-11	9.820568e-08	9.819114e-08
3.687999999999990e+00	2.611399e+00	1.501372e-11	9.820545e-08	9.819114e-08
3.688999999999990e+00	2.611399e+00	1.525101e-11	9.820522e-08	9.819114e-08
3.689999999999990e+00	2.611399e+00	1.549592e-11	9.820497e-08	9.819114e-08
