v1	V(n005)	I(I1)	I(I2)	I(Ib)
2.600000000000000e+00	1.796929e+00	8.262810e-12	9.618878e-08	9.607134e-08
2.601000000000000e+00	1.796929e+00	8.282287e-12	9.618876e-08	9.607134e-08
2.602000000000000e+00	1.796929e+00	8.302370e-12	9.618874e-08	9.607134e-08
2.603000000000000e+00	1.796929e+00	8.323077e-12	9.618872e-08	9.607134e-08
2.604000000000000e+00	1.796929e+00	8.344434e-12	9.618870e-08	9.607134e-08
2.605000000000000e+00	1.796929e+00	8.366448e-12	9.618868e-08	9.607134e-08
2.605999999999999e+00	1.796929e+00	8.389150e-12	9.618865e-08	9.607134e-08
2.606999999999999e+00	1.796929e+00	8.412558e-12	9.618863e-08	9.607134e-08
2.607999999999999e+00	1.796929e+00	8.436699e-12	9.618861e-08	9.607134e-08
2.608999999999999e+00	1.796929e+00	8.461584e-12	9.618858e-08	9.607134e-08
2.609999999999999e+00	1.796929e+00	8.487244e-12	9.618856e-08	9.607134e-08
2.610999999999999e+00	1.796929e+00	8.513701e-12	9.618853e-08	9.607134e-08
2.611999999999999e+00	1.796929e+00	8.540987e-12	9.618850e-08	9.607134e-08
2.612999999999999e+00	1.796929e+00	8.569116e-12	9.618847e-08	9.607134e-08
2.613999999999999e+00	1.796929e+00	8.598120e-12	9.618844e-08	9.607134e-08
2.614999999999998e+00	1.796929e+00	8.628031e-12	9.618842e-08	9.607134e-08
2.615999999999998e+00	1.796929e+00	8.658870e-12	9.618838e-08	9.607134e-08
2.616999999999998e+00	1.796929e+00	8.690670e-12	9.618835e-08	9.607134e-08
2.617999999999998e+00	1.796929e+00	8.723456e-12	9.618832e-08	9.607134e-08
2.618999999999998e+00	1.796929e+00	8.757264e-12	9.618829e-08	9.607134e-08
2.619999999999998e+00	1.796929e+00	8.792128e-12	9.618825e-08	9.607134e-08
2.620999999999998e+00	1.796929e+00	8.828069e-12	9.618822e-08	9.607134e-08
2.621999999999998e+00	1.796929e+00	8.865133e-12	9.618817e-08	9.607134e-08
2.622999999999998e+00	1.796929e+00	8.903349e-12	9.618814e-08	9.607134e-08
2.623999999999997e+00	1.796929e+00	8.942755e-12	9.618810e-08	9.607134e-08
2.624999999999997e+00	1.796929e+00	8.983392e-12	9.618806e-08	9.607134e-08
