vin	Ix(U2:GND)
8.300000000000005e-01	1.817509e-06
8.400000000000005e-01	1.973640e-06
8.500000000000005e-01	2.137247e-06
8.600000000000005e-01	2.308361e-06
8.700000000000006e-01	2.487005e-06
8.800000000000006e-01	2.673200e-06
8.900000000000006e-01	2.866962e-06
9.000000000000006e-01	3.068301e-06
9.100000000000006e-01	3.277226e-06
9.200000000000006e-01	3.493740e-06
9.300000000000006e-01	3.717844e-06
9.400000000000006e-01	3.949537e-06
9.500000000000006e-01	4.188814e-06
9.600000000000006e-01	4.435669e-06
9.700000000000006e-01	4.690091e-06
9.800000000000006e-01	4.952071e-06
9.900000000000007e-01	5.221595e-06
1.000000000000001e+00	5.498649e-06
1.010000000000001e+00	5.783216e-06
1.020000000000001e+00	6.075280e-06
1.030000000000001e+00	6.374820e-06
1.040000000000001e+00	6.681818e-06
1.050000000000001e+00	6.996253e-06
1.060000000000001e+00	7.318102e-06
1.070000000000001e+00	7.647344e-06
1.080000000000001e+00	7.983955e-06
1.090000000000001e+00	8.327909e-06
1.100000000000001e+00	8.679184e-06
1.110000000000001e+00	9.037753e-06
1.120000000000001e+00	9.403593e-06
1.130000000000001e+00	9.776674e-06
1.140000000000001e+00	1.015697e-05
1.150000000000001e+00	1.054446e-05
1.160000000000001e+00	1.093911e-05
1.170000000000001e+00	1.134090e-05
1.180000000000001e+00	1.174980e-05
1.190000000000001e+00	1.216577e-05
1.200000000000001e+00	1.258880e-05
1.210000000000001e+00	1.301885e-05
1.220000000000001e+00	1.345590e-05
1.230000000000001e+00	1.389992e-05
1.240000000000001e+00	1.435088e-05
1.250000000000001e+00	1.480875e-05
1.260000000000001e+00	1.527350e-05
1.270000000000001e+00	1.574511e-05
1.280000000000001e+00	1.622354e-05
1.290000000000001e+00	1.670877e-05
1.300000000000001e+00	1.720077e-05
1.310000000000001e+00	1.769951e-05
1.320000000000001e+00	1.820496e-05
1.330000000000001e+00	1.871709e-05
1.340000000000001e+00	1.923587e-05
1.350000000000001e+00	1.976128e-05
1.360000000000001e+00	2.029329e-05
1.370000000000001e+00	2.083185e-05
1.380000000000001e+00	2.137696e-05
1.390000000000001e+00	2.192858e-05
1.400000000000001e+00	2.248667e-05
1.410000000000001e+00	2.305121e-05
1.420000000000001e+00	2.362217e-05
1.430000000000001e+00	2.419953e-05
1.440000000000001e+00	2.478325e-05
1.450000000000001e+00	2.537330e-05
1.460000000000001e+00	2.596965e-05
1.470000000000001e+00	2.657228e-05
1.480000000000001e+00	2.718116e-05
1.490000000000001e+00	2.779625e-05
1.500000000000001e+00	2.841753e-05
1.510000000000001e+00	2.904497e-05
1.520000000000001e+00	2.967854e-05
1.530000000000001e+00	3.031821e-05
1.540000000000001e+00	3.096395e-05
1.550000000000001e+00	3.161573e-05
1.560000000000001e+00	3.227353e-05
1.570000000000001e+00	3.293731e-05
1.580000000000001e+00	3.360704e-05
1.590000000000001e+00	3.428271e-05
1.600000000000001e+00	3.496427e-05
1.610000000000001e+00	3.565170e-05
1.620000000000001e+00	3.634497e-05
1.630000000000001e+00	3.704405e-05
1.640000000000001e+00	3.774891e-05
1.650000000000001e+00	3.845953e-05
1.660000000000001e+00	3.917588e-05
1.670000000000001e+00	3.989792e-05
1.680000000000001e+00	4.062563e-05
1.690000000000001e+00	4.135898e-05
1.700000000000001e+00	4.209794e-05
1.710000000000001e+00	4.284248e-05
1.720000000000001e+00	4.359258e-05
1.730000000000001e+00	4.434821e-05
1.740000000000001e+00	4.510934e-05
1.750000000000001e+00	4.587594e-05
1.760000000000001e+00	4.664798e-05
1.770000000000001e+00	4.742543e-05
1.780000000000001e+00	4.820828e-05
1.790000000000001e+00	4.899648e-05
1.800000000000001e+00	4.979002e-05
1.810000000000001e+00	5.058886e-05
1.820000000000001e+00	5.139298e-05
1.830000000000001e+00	5.220235e-05
1.840000000000001e+00	5.301694e-05
1.850000000000001e+00	5.383673e-05
1.860000000000001e+00	5.466168e-05
1.870000000000001e+00	5.549178e-05
1.880000000000001e+00	5.632699e-05
1.890000000000001e+00	5.716729e-05
1.900000000000001e+00	5.801265e-05
1.910000000000001e+00	5.886305e-05
1.920000000000001e+00	5.971845e-05
1.930000000000001e+00	6.057883e-05
1.940000000000002e+00	6.144417e-05
1.950000000000002e+00	6.231444e-05
1.960000000000002e+00	6.318960e-05
1.970000000000002e+00	6.406965e-05
1.980000000000002e+00	6.495454e-05
1.990000000000002e+00	6.584426e-05
2.000000000000001e+00	6.673878e-05
2.010000000000001e+00	6.763807e-05
2.020000000000001e+00	6.854210e-05
2.030000000000001e+00	6.945086e-05
2.040000000000000e+00	7.036432e-05
2.050000000000000e+00	7.128245e-05
2.060000000000000e+00	7.220522e-05
2.070000000000000e+00	7.313261e-05
2.080000000000000e+00	7.406461e-05
2.089999999999999e+00	7.500117e-05
2.099999999999999e+00	7.594227e-05
2.109999999999999e+00	7.688790e-05
2.119999999999999e+00	7.783803e-05
2.129999999999999e+00	7.879262e-05
2.139999999999998e+00	7.975167e-05
2.149999999999998e+00	8.071514e-05
2.159999999999998e+00	8.168300e-05
2.169999999999998e+00	8.265525e-05
2.179999999999997e+00	8.363184e-05
2.189999999999997e+00	8.461277e-05
2.199999999999997e+00	8.559799e-05
2.209999999999997e+00	8.658750e-05
2.219999999999997e+00	8.758126e-05
2.229999999999996e+00	8.857926e-05
2.239999999999996e+00	8.958147e-05
2.249999999999996e+00	9.058786e-05
2.259999999999996e+00	9.159842e-05
2.269999999999996e+00	9.261312e-05
2.279999999999995e+00	9.363193e-05
2.289999999999995e+00	9.465485e-05
2.299999999999995e+00	9.568183e-05
2.309999999999995e+00	9.671286e-05
2.319999999999995e+00	9.774791e-05
2.329999999999994e+00	9.878698e-05
2.339999999999994e+00	9.983002e-05
2.349999999999994e+00	1.008770e-04
2.359999999999994e+00	1.019280e-04
2.369999999999993e+00	1.029828e-04
2.379999999999993e+00	1.040416e-04
2.389999999999993e+00	1.051042e-04
2.399999999999993e+00	1.061707e-04
2.409999999999993e+00	1.072410e-04
2.419999999999992e+00	1.083151e-04
2.429999999999992e+00	1.093930e-04
2.439999999999992e+00	1.104747e-04
2.449999999999992e+00	1.115601e-04
2.459999999999992e+00	1.126492e-04
2.469999999999991e+00	1.137420e-04
2.479999999999991e+00	1.148385e-04
2.489999999999991e+00	1.159387e-04
2.499999999999991e+00	1.170425e-04
2.509999999999990e+00	1.181499e-04
2.519999999999990e+00	1.192610e-04
2.529999999999990e+00	1.203756e-04
2.539999999999990e+00	1.214937e-04
2.549999999999990e+00	1.226154e-04
2.559999999999989e+00	1.237406e-04
2.569999999999989e+00	1.248693e-04
2.579999999999989e+00	1.260015e-04
2.589999999999989e+00	1.271371e-04
2.599999999999989e+00	1.282762e-04
2.609999999999988e+00	1.294187e-04
2.619999999999988e+00	1.305646e-04
2.629999999999988e+00	1.317139e-04
2.639999999999988e+00	1.328665e-04
2.649999999999987e+00	1.340225e-04
2.659999999999987e+00	1.351818e-04
2.669999999999987e+00	1.363444e-04
2.679999999999987e+00	1.375102e-04
2.689999999999987e+00	1.386794e-04
2.699999999999986e+00	1.398518e-04
2.709999999999986e+00	1.410274e-04
2.719999999999986e+00	1.422062e-04
2.729999999999986e+00	1.433882e-04
2.739999999999986e+00	1.445734e-04
2.749999999999985e+00	1.457617e-04
2.759999999999985e+00	1.469531e-04
2.769999999999985e+00	1.481477e-04
2.779999999999985e+00	1.493454e-04
2.789999999999984e+00	1.505461e-04
2.799999999999984e+00	1.517500e-04
2.809999999999984e+00	1.529568e-04
2.819999999999984e+00	1.541667e-04
2.829999999999984e+00	1.553796e-04
2.839999999999983e+00	1.565955e-04
2.849999999999983e+00	1.578143e-04
2.859999999999983e+00	1.590361e-04
2.869999999999983e+00	1.602609e-04
2.879999999999983e+00	1.614886e-04
2.889999999999982e+00	1.627191e-04
2.899999999999982e+00	1.639526e-04
2.909999999999982e+00	1.651889e-04
2.919999999999982e+00	1.664281e-04
2.929999999999982e+00	1.676701e-04
2.939999999999981e+00	1.689150e-04
2.949999999999981e+00	1.701626e-04
2.959999999999981e+00	1.714130e-04
2.969999999999981e+00	1.726662e-04
2.979999999999980e+00	1.739222e-04
2.989999999999980e+00	1.751809e-04
2.999999999999980e+00	1.764423e-04
3.009999999999980e+00	1.777064e-04
3.019999999999980e+00	1.789732e-04
3.029999999999979e+00	1.802427e-04
3.039999999999979e+00	1.815148e-04
3.049999999999979e+00	1.827896e-04
3.059999999999979e+00	1.840670e-04
3.069999999999979e+00	1.853470e-04
3.079999999999978e+00	1.866296e-04
3.089999999999978e+00	1.879147e-04
