vin	Ix(U1:DRAIN)
1.670000000000001e+00	9.662805e-09
1.680000000000001e+00	9.666041e-09
1.690000000000001e+00	9.669272e-09
1.700000000000001e+00	9.672494e-09
1.710000000000001e+00	9.675710e-09
1.720000000000001e+00	9.678919e-09
1.730000000000001e+00	9.682121e-09
1.740000000000001e+00	9.685317e-09
1.750000000000001e+00	9.688506e-09
1.760000000000001e+00	9.691687e-09
1.770000000000001e+00	9.694864e-09
1.780000000000001e+00	9.698033e-09
1.790000000000001e+00	9.701195e-09
1.800000000000001e+00	9.704351e-09
1.810000000000001e+00	9.707501e-09
1.820000000000001e+00	9.710644e-09
1.830000000000001e+00	9.713782e-09
1.840000000000001e+00	9.716913e-09
1.850000000000001e+00	9.720037e-09
1.860000000000001e+00	9.723156e-09
1.870000000000001e+00	9.726269e-09
1.880000000000001e+00	9.729375e-09
1.890000000000001e+00	9.732475e-09
1.900000000000001e+00	9.735571e-09
1.910000000000001e+00	9.738659e-09
1.920000000000001e+00	9.741742e-09
1.930000000000001e+00	9.744819e-09
1.940000000000002e+00	9.747890e-09
1.950000000000002e+00	9.750956e-09
1.960000000000002e+00	9.754017e-09
1.970000000000002e+00	9.757072e-09
1.980000000000002e+00	9.760121e-09
1.990000000000002e+00	9.763164e-09
2.000000000000001e+00	9.766202e-09
2.010000000000001e+00	9.769235e-09
2.020000000000001e+00	9.772263e-09
2.030000000000001e+00	9.775285e-09
2.040000000000000e+00	9.778302e-09
2.050000000000000e+00	9.781314e-09
2.060000000000000e+00	9.784321e-09
2.070000000000000e+00	9.787322e-09
2.080000000000000e+00	9.790319e-09
2.089999999999999e+00	9.793311e-09
2.099999999999999e+00	9.796297e-09
2.109999999999999e+00	9.799280e-09
2.119999999999999e+00	9.802257e-09
2.129999999999999e+00	9.805229e-09
2.139999999999998e+00	9.808196e-09
2.149999999999998e+00	9.811159e-09
2.159999999999998e+00	9.814118e-09
2.169999999999998e+00	9.817072e-09
2.179999999999997e+00	9.820020e-09
2.189999999999997e+00	9.822966e-09
2.199999999999997e+00	9.825905e-09
2.209999999999997e+00	9.828842e-09
2.219999999999997e+00	9.831774e-09
2.229999999999996e+00	9.834701e-09
2.239999999999996e+00	9.837624e-09
2.249999999999996e+00	9.840543e-09
2.259999999999996e+00	9.843458e-09
2.269999999999996e+00	9.846369e-09
2.279999999999995e+00	9.849276e-09
2.289999999999995e+00	9.852180e-09
2.299999999999995e+00	9.855079e-09
2.309999999999995e+00	9.857974e-09
2.319999999999995e+00	9.860866e-09
2.329999999999994e+00	9.863754e-09
2.339999999999994e+00	9.866638e-09
2.349999999999994e+00	9.869519e-09
2.359999999999994e+00	9.872396e-09
2.369999999999993e+00	9.875270e-09
2.379999999999993e+00	9.878141e-09
2.389999999999993e+00	9.881008e-09
2.399999999999993e+00	9.883871e-09
2.409999999999993e+00	9.886732e-09
2.419999999999992e+00	9.889590e-09
2.429999999999992e+00	9.892444e-09
2.439999999999992e+00	9.895295e-09
2.449999999999992e+00	9.898144e-09
2.459999999999992e+00	9.900989e-09
2.469999999999991e+00	9.903832e-09
2.479999999999991e+00	9.906672e-09
2.489999999999991e+00	9.909509e-09
2.499999999999991e+00	9.912344e-09
2.509999999999990e+00	9.915175e-09
2.519999999999990e+00	9.918005e-09
2.529999999999990e+00	9.920832e-09
2.539999999999990e+00	9.923657e-09
2.549999999999990e+00	9.926478e-09
2.559999999999989e+00	9.929298e-09
2.569999999999989e+00	9.932116e-09
2.579999999999989e+00	9.934932e-09
2.589999999999989e+00	9.937746e-09
2.599999999999989e+00	9.940557e-09
2.609999999999988e+00	9.943367e-09
2.619999999999988e+00	9.946175e-09
2.629999999999988e+00	9.948981e-09
2.639999999999988e+00	9.951785e-09
2.649999999999987e+00	9.954588e-09
2.659999999999987e+00	9.957390e-09
2.669999999999987e+00	9.960189e-09
2.679999999999987e+00	9.962988e-09
2.689999999999987e+00	9.965786e-09
2.699999999999986e+00	9.968581e-09
2.709999999999986e+00	9.971376e-09
2.719999999999986e+00	9.974169e-09
2.729999999999986e+00	9.976962e-09
2.739999999999986e+00	9.979754e-09
2.749999999999985e+00	9.982545e-09
2.759999999999985e+00	9.985334e-09
2.769999999999985e+00	9.988124e-09
2.779999999999985e+00	9.990913e-09
2.789999999999984e+00	9.993701e-09
2.799999999999984e+00	9.996489e-09
2.809999999999984e+00	9.999276e-09
2.819999999999984e+00	1.000206e-08
2.829999999999984e+00	1.000485e-08
2.839999999999983e+00	1.000764e-08
2.849999999999983e+00	1.001042e-08
2.859999999999983e+00	1.001321e-08
2.869999999999983e+00	1.001600e-08
2.879999999999983e+00	1.001878e-08
2.889999999999982e+00	1.002157e-08
2.899999999999982e+00	1.002436e-08
2.909999999999982e+00	1.002715e-08
2.919999999999982e+00	1.002994e-08
2.929999999999982e+00	1.003273e-08
2.939999999999981e+00	1.003552e-08
2.949999999999981e+00	1.003831e-08
2.959999999999981e+00	1.004110e-08
2.969999999999981e+00	1.004389e-08
2.979999999999980e+00	1.004669e-08
2.989999999999980e+00	1.004948e-08
2.999999999999980e+00	1.005228e-08
3.009999999999980e+00	1.005508e-08
3.019999999999980e+00	1.005788e-08
3.029999999999979e+00	1.006068e-08
3.039999999999979e+00	1.006348e-08
3.049999999999979e+00	1.006628e-08
3.059999999999979e+00	1.006909e-08
3.069999999999979e+00	1.007190e-08
3.079999999999978e+00	1.007471e-08
3.089999999999978e+00	1.007752e-08
3.099999999999978e+00	1.008034e-08
3.109999999999978e+00	1.008315e-08
3.119999999999977e+00	1.008597e-08
3.129999999999977e+00	1.008880e-08
3.139999999999977e+00	1.009162e-08
3.149999999999977e+00	1.009445e-08
3.159999999999977e+00	1.009728e-08
3.169999999999976e+00	1.010011e-08
3.179999999999976e+00	1.010295e-08
3.189999999999976e+00	1.010579e-08
3.199999999999976e+00	1.010863e-08
3.209999999999976e+00	1.011147e-08
3.219999999999975e+00	1.011432e-08
3.229999999999975e+00	1.011718e-08
3.239999999999975e+00	1.012003e-08
3.249999999999975e+00	1.012289e-08
3.259999999999974e+00	1.012576e-08
3.269999999999974e+00	1.012863e-08
3.279999999999974e+00	1.013150e-08
3.289999999999974e+00	1.013437e-08
3.299999999999974e+00	1.013725e-08
3.309999999999973e+00	1.014014e-08
3.319999999999973e+00	1.014303e-08
3.329999999999973e+00	1.014592e-08
3.339999999999973e+00	1.014882e-08
3.349999999999973e+00	1.015172e-08
3.359999999999972e+00	1.015463e-08
3.369999999999972e+00	1.015755e-08
3.379999999999972e+00	1.016046e-08
3.389999999999972e+00	1.016339e-08
3.399999999999971e+00	1.016632e-08
3.409999999999971e+00	1.016925e-08
3.419999999999971e+00	1.017219e-08
3.429999999999971e+00	1.017514e-08
3.439999999999971e+00	1.017809e-08
3.449999999999970e+00	1.018105e-08
3.459999999999970e+00	1.018401e-08
3.469999999999970e+00	1.018698e-08
3.479999999999970e+00	1.018996e-08
3.489999999999970e+00	1.019294e-08
3.499999999999969e+00	1.019593e-08
3.509999999999969e+00	1.019892e-08
3.519999999999969e+00	1.020193e-08
3.529999999999969e+00	1.020493e-08
3.539999999999969e+00	1.020795e-08
3.549999999999968e+00	1.021097e-08
3.559999999999968e+00	1.021400e-08
3.569999999999968e+00	1.021704e-08
3.579999999999968e+00	1.022009e-08
3.589999999999967e+00	1.022314e-08
3.599999999999967e+00	1.022620e-08
3.609999999999967e+00	1.022926e-08
3.619999999999967e+00	1.023234e-08
3.629999999999967e+00	1.023542e-08
3.639999999999966e+00	1.023851e-08
3.649999999999966e+00	1.024161e-08
3.659999999999966e+00	1.024472e-08
3.669999999999966e+00	1.024784e-08
3.679999999999966e+00	1.025096e-08
3.689999999999965e+00	1.025410e-08
3.699999999999965e+00	1.025724e-08
3.709999999999965e+00	1.026039e-08
3.719999999999965e+00	1.026355e-08
3.729999999999964e+00	1.026672e-08
3.739999999999964e+00	1.026990e-08
3.749999999999964e+00	1.027308e-08
3.759999999999964e+00	1.027628e-08
3.769999999999964e+00	1.027949e-08
3.779999999999963e+00	1.028270e-08
3.789999999999963e+00	1.028593e-08
3.799999999999963e+00	1.028917e-08
3.809999999999963e+00	1.029241e-08
3.819999999999963e+00	1.029567e-08
3.829999999999962e+00	1.029894e-08
3.839999999999962e+00	1.030221e-08
3.849999999999962e+00	1.030550e-08
3.859999999999962e+00	1.030880e-08
3.869999999999961e+00	1.031211e-08
3.879999999999961e+00	1.031543e-08
3.889999999999961e+00	1.031876e-08
3.899999999999961e+00	1.032210e-08
3.909999999999961e+00	1.032546e-08
3.919999999999960e+00	1.032882e-08
3.929999999999960e+00	1.033220e-08
3.939999999999960e+00	1.033558e-08
3.949999999999960e+00	1.033898e-08
3.959999999999960e+00	1.034239e-08
3.969999999999959e+00	1.034582e-08
3.979999999999959e+00	1.034925e-08
3.989999999999959e+00	1.035270e-08
3.999999999999959e+00	1.035616e-08
4.009999999999959e+00	1.035963e-08
4.019999999999959e+00	1.036312e-08
4.029999999999959e+00	1.036662e-08
4.039999999999958e+00	1.037013e-08
4.049999999999958e+00	1.037365e-08
4.059999999999958e+00	1.037719e-08
4.069999999999958e+00	1.038074e-08
4.079999999999957e+00	1.038430e-08
4.089999999999957e+00	1.038787e-08
4.099999999999957e+00	1.039146e-08
4.109999999999957e+00	1.039507e-08
4.119999999999957e+00	1.039868e-08
4.129999999999956e+00	1.040232e-08
4.139999999999956e+00	1.040596e-08
4.149999999999956e+00	1.040962e-08
4.159999999999956e+00	1.041329e-08
4.169999999999956e+00	1.041698e-08
4.179999999999955e+00	1.042068e-08
4.189999999999955e+00	1.042440e-08
4.199999999999955e+00	1.042813e-08
4.209999999999955e+00	1.043188e-08
4.219999999999954e+00	1.043564e-08
4.229999999999954e+00	1.043941e-08
4.239999999999954e+00	1.044321e-08
4.249999999999954e+00	1.044701e-08
4.259999999999954e+00	1.045083e-08
4.269999999999953e+00	1.045467e-08
4.279999999999953e+00	1.045852e-08
4.289999999999953e+00	1.046239e-08
4.299999999999953e+00	1.046628e-08
4.309999999999953e+00	1.047018e-08
4.319999999999952e+00	1.047410e-08
4.329999999999952e+00	1.047803e-08
4.339999999999952e+00	1.048198e-08
4.349999999999952e+00	1.048594e-08
4.359999999999951e+00	1.048993e-08
4.369999999999951e+00	1.049393e-08
4.379999999999951e+00	1.049794e-08
4.389999999999951e+00	1.050197e-08
4.399999999999951e+00	1.050602e-08
4.409999999999950e+00	1.051009e-08
4.419999999999950e+00	1.051418e-08
4.429999999999950e+00	1.051828e-08
4.439999999999950e+00	1.052240e-08
4.449999999999950e+00	1.052653e-08
4.459999999999949e+00	1.053069e-08
4.469999999999949e+00	1.053486e-08
4.479999999999949e+00	1.053905e-08
4.489999999999949e+00	1.054326e-08
4.499999999999948e+00	1.054749e-08
4.509999999999948e+00	1.055173e-08
4.519999999999948e+00	1.055599e-08
4.529999999999948e+00	1.056028e-08
4.539999999999948e+00	1.056458e-08
4.549999999999947e+00	1.056890e-08
4.559999999999947e+00	1.057323e-08
4.569999999999947e+00	1.057759e-08
4.579999999999947e+00	1.058197e-08
4.589999999999947e+00	1.058636e-08
4.599999999999946e+00	1.059078e-08
4.609999999999946e+00	1.059521e-08
4.619999999999946e+00	1.059966e-08
4.629999999999946e+00	1.060414e-08
4.639999999999946e+00	1.060863e-08
4.649999999999945e+00	1.061314e-08
4.659999999999945e+00	1.061768e-08
4.669999999999945e+00	1.062223e-08
4.679999999999945e+00	1.062680e-08
4.689999999999944e+00	1.063139e-08
4.699999999999944e+00	1.063601e-08
4.709999999999944e+00	1.064064e-08
4.719999999999944e+00	1.064530e-08
4.729999999999944e+00	1.064997e-08
4.739999999999943e+00	1.065467e-08
4.749999999999943e+00	1.065939e-08
4.759999999999943e+00	1.066413e-08
4.769999999999943e+00	1.066889e-08
4.779999999999943e+00	1.067367e-08
4.789999999999942e+00	1.067847e-08
4.799999999999942e+00	1.068329e-08
4.809999999999942e+00	1.068814e-08
4.819999999999942e+00	1.069300e-08
4.829999999999941e+00	1.069789e-08
4.839999999999941e+00	1.070280e-08
4.849999999999941e+00	1.070774e-08
4.859999999999941e+00	1.071269e-08
4.869999999999941e+00	1.071767e-08
4.879999999999940e+00	1.072267e-08
4.889999999999940e+00	1.072769e-08
4.899999999999940e+00	1.073274e-08
4.909999999999940e+00	1.073780e-08
4.919999999999940e+00	1.074289e-08
4.929999999999939e+00	1.074801e-08
4.939999999999939e+00	1.075314e-08
4.949999999999939e+00	1.075830e-08
4.959999999999939e+00	1.076348e-08
4.969999999999938e+00	1.076869e-08
4.979999999999938e+00	1.077392e-08
4.989999999999938e+00	1.077917e-08
5.000000000000000e+00	1.078444e-08
