Freq.	V(vout)
1.90546071796324e+001	(-7.75458132568966e-002dB,-2.08592142592936e-003°)
1.94984459975804e+001	(-7.75458135239160e-002dB,-2.13450877755840e-003°)
1.99526231496887e+001	(-7.75458138035141e-002dB,-2.18422787399078e-003°)
2.04173794466952e+001	(-7.75458140962921e-002dB,-2.23510507694923e-003°)
2.08929613085403e+001	(-7.75458144028679e-002dB,-2.28716736219990e-003°)
2.13796208950222e+001	(-7.75458147238923e-002dB,-2.34044233385521e-003°)
2.18776162394954e+001	(-7.75458150600495e-002dB,-2.39495823900996e-003°)
2.23872113856833e+001	(-7.75458154120428e-002dB,-2.45074398271826e-003°)
2.29086765276776e+001	(-7.75458157806282e-002dB,-2.50782914331945e-003°)
2.34422881531991e+001	(-7.75458161665851e-002dB,-2.56624398812083e-003°)
2.39883291901948e+001	(-7.75458165707260e-002dB,-2.62601948944586e-003°)
2.45470891568502e+001	(-7.75458169939216e-002dB,-2.68718734105605e-003°)
2.51188643150957e+001	(-7.75458174370603e-002dB,-2.74977997495544e-003°)
2.57039578276885e+001	(-7.75458179010839e-002dB,-2.81383057858644e-003°)
2.63026799189537e+001	(-7.75458183869732e-002dB,-2.87937311242628e-003°)
2.69153480392690e+001	(-7.75458188957605e-002dB,-2.94644232799330e-003°)
2.75422870333815e+001	(-7.75458194285297e-002dB,-3.01507378627264e-003°)
2.81838293126444e+001	(-7.75458199864055e-002dB,-3.08530387657115e-003°)
2.88403150312659e+001	(-7.75458205705760e-002dB,-3.15716983581148e-003°)
2.95120922666637e+001	(-7.75458211822749e-002dB,-3.23070976827561e-003°)
3.01995172040200e+001	(-7.75458218228030e-002dB,-3.30596266580819e-003°)
3.09029543251358e+001	(-7.75458224935187e-002dB,-3.38296842849057e-003°)
3.16227766016837e+001	(-7.75458231958434e-002dB,-3.46176788579633e-003°)
3.23593656929627e+001	(-7.75458239312659e-002dB,-3.54240281823960e-003°)
