time	V(v1)	V(vout)
1.863107200047544e-008	2.903513e+000	2.509872e+000
1.893107200047545e-008	2.909623e+000	2.510290e+000
1.923107200047545e-008	2.915715e+000	2.510712e+000
1.953107200047545e-008	2.921789e+000	2.511138e+000
1.974535771476117e-008	2.926116e+000	2.511445e+000
1.995964342904688e-008	2.930433e+000	2.511754e+000
2.017392914333260e-008	2.934740e+000	2.512065e+000
2.038821485761832e-008	2.939037e+000	2.512377e+000
2.060250057190403e-008	2.943324e+000	2.512691e+000
2.081678628618975e-008	2.947601e+000	2.513007e+000
2.103107200047547e-008	2.951868e+000	2.513324e+000
2.135964342904690e-008	2.958391e+000	2.513814e+000
2.168821485761833e-008	2.964889e+000	2.514307e+000
2.201678628618976e-008	2.971361e+000	2.514801e+000
2.234535771476119e-008	2.977808e+000	2.515299e+000
2.267392914333262e-008	2.984229e+000	2.515798e+000
2.300250057190405e-008	2.990625e+000	2.516300e+000
2.333107200047549e-008	2.996996e+000	2.516805e+000
2.364535771476120e-008	3.003064e+000	2.517289e+000
2.395964342904692e-008	3.009107e+000	2.517774e+000
2.427392914333264e-008	3.015125e+000	2.518260e+000
2.458821485761836e-008	3.021117e+000	2.518747e+000
2.490250057190407e-008	3.027083e+000	2.519235e+000
2.521678628618979e-008	3.033025e+000	2.519724e+000
2.553107200047551e-008	3.038941e+000	2.520214e+000
2.594535771476122e-008	3.046699e+000	2.520861e+000
2.635964342904694e-008	3.054409e+000	2.521509e+000
2.677392914333266e-008	3.062071e+000	2.522157e+000
2.718821485761838e-008	3.069684e+000	2.522806e+000
2.760250057190410e-008	3.077250e+000	2.523455e+000
2.801678628618981e-008	3.084767e+000	2.524105e+000
2.843107200047553e-008	3.092235e+000	2.524755e+000
2.903107200047554e-008	3.102965e+000	2.525698e+000
2.963107200047554e-008	3.113582e+000	2.526640e+000
3.023107200047555e-008	3.124086e+000	2.527583e+000
3.083107200047555e-008	3.134478e+000	2.528526e+000
3.143107200047556e-008	3.144757e+000	2.529469e+000
3.203107200047556e-008	3.154923e+000	2.530412e+000
3.263107200047557e-008	3.164977e+000	2.531356e+000
3.351678628618986e-008	3.179608e+000	2.532748e+000
3.440250057190416e-008	3.193959e+000	2.534140e+000
3.528821485761845e-008	3.208032e+000	2.535533e+000
3.617392914333274e-008	3.221827e+000	2.536925e+000
3.705964342904704e-008	3.235343e+000	2.538317e+000
3.794535771476133e-008	3.248580e+000	2.539708e+000
3.883107200047562e-008	3.261539e+000	2.541100e+000
4.187392914333279e-008	3.304091e+000	2.545881e+000
4.491678628618996e-008	3.342557e+000	2.550657e+000
4.795964342904712e-008	3.376939e+000	2.555428e+000
5.100250057190429e-008	3.407234e+000	2.560194e+000
5.404535771476145e-008	3.433444e+000	2.564956e+000
5.708821485761862e-008	3.455568e+000	2.569712e+000
6.013107200047578e-008	3.473607e+000	2.574464e+000
6.367392914333272e-008	3.488566e+000	2.579989e+000
6.721678628618966e-008	3.497339e+000	2.585504e+000
7.075964342904660e-008	3.499926e+000	2.591010e+000
7.430250057190354e-008	3.496326e+000	2.596506e+000
7.784535771476049e-008	3.486540e+000	2.601992e+000
8.138821485761741e-008	3.470567e+000	2.607468e+000
8.493107200047436e-008	3.448408e+000	2.612935e+000
8.605964342904573e-008	3.440116e+000	2.614674e+000
8.718821485761708e-008	3.431244e+000	2.616412e+000
8.831678628618845e-008	3.421792e+000	2.618149e+000
8.944535771475981e-008	3.411761e+000	2.619884e+000
9.057392914333118e-008	3.401149e+000	2.621618e+000
9.170250057190255e-008	3.389957e+000	2.623351e+000
9.283107200047390e-008	3.378186e+000	2.625083e+000
9.371678628618814e-008	3.368560e+000	2.626441e+000
9.460250057190237e-008	3.358606e+000	2.627799e+000
9.548821485761661e-008	3.348323e+000	2.629155e+000
9.637392914333085e-008	3.337712e+000	2.630511e+000
9.725964342904509e-008	3.326772e+000	2.631866e+000
9.814535771475931e-008	3.315504e+000	2.633221e+000
9.903107200047355e-008	3.303907e+000	2.634574e+000
1.006310720004735e-007	3.282186e+000	2.637017e+000
1.014739291433306e-007	3.270330e+000	2.638303e+000
1.023167862861877e-007	3.258213e+000	2.639588e+000
1.031596434290448e-007	3.245836e+000	2.640872e+000
1.040025005719018e-007	3.233197e+000	2.642155e+000
1.048453577147589e-007	3.220297e+000	2.643437e+000
1.056882148576160e-007	3.207137e+000	2.644718e+000
1.065310720004731e-007	3.193715e+000	2.645999e+000
1.070453577147588e-007	3.185409e+000	2.646780e+000
1.075596434290445e-007	3.177015e+000	2.647560e+000
1.080739291433302e-007	3.168535e+000	2.648340e+000
1.085882148576159e-007	3.159967e+000	2.649119e+000
1.091025005719015e-007	3.151311e+000	2.649899e+000
1.096167862861872e-007	3.142569e+000	2.650677e+000
1.101310720004729e-007	3.133739e+000	2.651455e+000
1.106739291433300e-007	3.124327e+000	2.652276e+000
1.112167862861871e-007	3.114828e+000	2.653096e+000
1.117596434290443e-007	3.105241e+000	2.653916e+000
1.123025005719014e-007	3.095566e+000	2.654734e+000
1.128453577147585e-007	3.085803e+000	2.655552e+000
1.133882148576156e-007	3.075952e+000	2.656369e+000
1.139310720004727e-007	3.066013e+000	2.657185e+000
1.144596434290441e-007	3.056256e+000	2.657979e+000
1.149882148576155e-007	3.046425e+000	2.658772e+000
1.155167862861869e-007	3.036521e+000	2.659563e+000
1.160453577147583e-007	3.026542e+000	2.660353e+000
1.165739291433297e-007	3.016490e+000	2.661142e+000
1.171025005719011e-007	3.006364e+000	2.661930e+000
1.176310720004725e-007	2.996164e+000	2.662717e+000
1.186739291433297e-007	2.975818e+000	2.664266e+000
