Freq.	V(vout)
1.02329299228075e+001	(6.01994501647596e+000dB,-1.59503605029109e-004°)
1.04712854805090e+001	(6.01994501647438e+000dB,-1.63218921269784e-004°)
1.07151930523760e+001	(6.01994501647272e+000dB,-1.67020778342973e-004°)
1.09647819614318e+001	(6.01994501647098e+000dB,-1.70911192043619e-004°)
1.12201845430196e+001	(6.01994501646916e+000dB,-1.74892225120561e-004°)
1.14815362149688e+001	(6.01994501646726e+000dB,-1.78965988370232e-004°)
1.17489755493953e+001	(6.01994501646525e+000dB,-1.83134641755829e-004°)
1.20226443461741e+001	(6.01994501646316e+000dB,-1.87400395552556e-004°)
1.23026877081238e+001	(6.01994501646097e+000dB,-1.91765511519540e-004°)
1.25892541179416e+001	(6.01994501645868e+000dB,-1.96232304099045e-004°)
1.28824955169313e+001	(6.01994501645628e+000dB,-2.00803141643621e-004°)
1.31825673855640e+001	(6.01994501645376e+000dB,-2.05480447671838e-004°)
1.34896288259165e+001	(6.01994501645113e+000dB,-2.10266702153261e-004°)
1.38038426460288e+001	(6.01994501644837e+000dB,-2.15164442823371e-004°)
1.41253754462275e+001	(6.01994501644549e+000dB,-2.20176266529100e-004°)
1.44543977074592e+001	(6.01994501644246e+000dB,-2.25304830605715e-004°)
1.47910838816820e+001	(6.01994501643930e+000dB,-2.30552854285775e-004°)
1.51356124843620e+001	(6.01994501643600e+000dB,-2.35923120140899e-004°)
1.54881661891248e+001	(6.01994501643253e+000dB,-2.41418475557129e-004°)
1.58489319246111e+001	(6.01994501642888e+000dB,-2.47041834244643e-004°)
1.62181009735892e+001	(6.01994501642508e+000dB,-2.52796177782653e-004°)
1.65958690743755e+001	(6.01994501642110e+000dB,-2.58684557200270e-004°)
1.69824365246174e+001	(6.01994501641692e+000dB,-2.64710094594201e-004°)
1.73780082874937e+001	(6.01994501641256e+000dB,-2.70875984784131e-004°)
1.77827941003892e+001	(6.01994501640798e+000dB,-2.77185497006652e-004°)
1.81970085860998e+001	(6.01994501640319e+000dB,-2.83641976648660e-004°)
1.86208713666286e+001	(6.01994501639817e+000dB,-2.90248847021124e-004°)
1.90546071796324e+001	(6.01994501639292e+000dB,-2.97009611174165e-004°)
1.94984459975804e+001	(6.01994501638742e+000dB,-3.03927853754426e-004°)
1.99526231496887e+001	(6.01994501638166e+000dB,-3.11007242905697e-004°)
2.04173794466952e+001	(6.01994501637563e+000dB,-3.18251532213810e-004°)
2.08929613085403e+001	(6.01994501636932e+000dB,-3.25664562696847e-004°)
2.13796208950222e+001	(6.01994501636271e+000dB,-3.33250264841691e-004°)
2.18776162394954e+001	(6.01994501635578e+000dB,-3.41012660688026e-004°)
2.23872113856833e+001	(6.01994501634853e+000dB,-3.48955865960877e-004°)
2.29086765276776e+001	(6.01994501634093e+000dB,-3.57084092252820e-004°)
2.34422881531991e+001	(6.01994501633300e+000dB,-3.65401649257022e-004°)
2.39883291901948e+001	(6.01994501632466e+000dB,-3.73912947052302e-004°)
2.45470891568502e+001	(6.01994501631595e+000dB,-3.82622498441409e-004°)
2.51188643150957e+001	(6.01994501630682e+000dB,-3.91534921343774e-004°)
2.57039578276885e+001	(6.01994501629726e+000dB,-4.00654941243986e-004°)
2.63026799189537e+001	(6.01994501628725e+000dB,-4.09987393697313e-004°)
2.69153480392690e+001	(6.01994501627677e+000dB,-4.19537226893573e-004°)
2.75422870333815e+001	(6.01994501626580e+000dB,-4.29309504280733e-004°)
2.81838293126444e+001	(6.01994501625430e+000dB,-4.39309407249611e-004°)
2.88403150312659e+001	(6.01994501624227e+000dB,-4.49542237881123e-004°)
2.95120922666637e+001	(6.01994501622968e+000dB,-4.60013421757517e-004°)
3.01995172040200e+001	(6.01994501621648e+000dB,-4.70728510839081e-004°)
3.09029543251358e+001	(6.01994501620266e+000dB,-4.81693186407875e-004°)
3.16227766016837e+001	(6.01994501618819e+000dB,-4.92913262080019e-004°)
3.23593656929627e+001	(6.01994501617305e+000dB,-5.04394686888144e-004°)
3.31131121482590e+001	(6.01994501615719e+000dB,-5.16143548435654e-004°)
3.38844156139201e+001	(6.01994501614058e+000dB,-5.28166076124453e-004°)
3.46736850452530e+001	(6.01994501612318e+000dB,-5.40468644457855e-004°)
3.54813389233574e+001	(6.01994501610497e+000dB,-5.53057776420428e-004°)
3.63078054770100e+001	(6.01994501608590e+000dB,-5.65940146936572e-004°)
3.71535229097171e+001	(6.01994501606594e+000dB,-5.79122586409648e-004°)
3.80189396320559e+001	(6.01994501604502e+000dB,-5.92612084343546e-004°)
3.89045144994279e+001	(6.01994501602313e+000dB,-6.06415793048623e-004°)
3.98107170553495e+001	(6.01994501600019e+000dB,-6.20541031433939e-004°)
4.07380277804111e+001	(6.01994501597619e+000dB,-6.34995288887852e-004°)
4.16869383470333e+001	(6.01994501595105e+000dB,-6.49786229248978e-004°)
4.26579518801591e+001	(6.01994501592472e+000dB,-6.64921694869671e-004°)
4.36515832240164e+001	(6.01994501589716e+000dB,-6.80409710774137e-004°)
4.46683592150961e+001	(6.01994501586830e+000dB,-6.96258488913407e-004°)
4.57088189614873e+001	(6.01994501583808e+000dB,-7.12476432519423e-004°)
4.67735141287196e+001	(6.01994501580643e+000dB,-7.29072140560546e-004°)
4.78630092322636e+001	(6.01994501577328e+000dB,-7.46054412300838e-004°)
4.89778819368444e+001	(6.01994501573858e+000dB,-7.63432251965551e-004°)
5.01187233627270e+001	(6.01994501570224e+000dB,-7.81214873515284e-004°)
5.12861383991362e+001	(6.01994501566419e+000dB,-7.99411705531351e-004°)
5.24807460249770e+001	(6.01994501562435e+000dB,-8.18032396214936e-004°)
5.37031796370250e+001	(6.01994501558263e+000dB,-8.37086818502696e-004°)
5.49540873857622e+001	(6.01994501553893e+000dB,-8.56585075301528e-004°)
5.62341325190346e+001	(6.01994501549319e+000dB,-8.76537504845258e-004°)
5.75439937337154e+001	(6.01994501544528e+000dB,-8.96954686176113e-004°)
5.88843655355586e+001	(6.01994501539513e+000dB,-9.17847444753866e-004°)
6.02559586074355e+001	(6.01994501534260e+000dB,-9.39226858195640e-004°)
6.16595001861479e+001	(6.01994501528760e+000dB,-9.61104262149411e-004°)
6.30957344480190e+001	(6.01994501523000e+000dB,-9.83491256304310e-004°)
6.45654229034652e+001	(6.01994501516971e+000dB,-1.00639971054094e-003°)
6.60693448007593e+001	(6.01994501510655e+000dB,-1.02984177122493e-003°)
6.76082975391978e+001	(6.01994501504042e+000dB,-1.05382986764712e-003°)
6.91830970918933e+001	(6.01994501497119e+000dB,-1.07837671861372e-003°)
7.07945784384134e+001	(6.01994501489868e+000dB,-1.10349533919000e-003°)
7.24435960074986e+001	(6.01994501482275e+000dB,-1.12919904760102e-003°)
7.41310241300914e+001	(6.01994501474326e+000dB,-1.15550147229317e-003°)
7.58577575029180e+001	(6.01994501466002e+000dB,-1.18241655916014e-003°)
7.76247116628688e+001	(6.01994501457285e+000dB,-1.20995857893720e-003°)
7.94328234724277e+001	(6.01994501448156e+000dB,-1.23814213476774e-003°)
8.12830516164095e+001	(6.01994501438599e+000dB,-1.26698216994607e-003°)
8.31763771102667e+001	(6.01994501428590e+000dB,-1.29649397584052e-003°)
8.51138038202372e+001	(6.01994501418111e+000dB,-1.32669320000114e-003°)
8.70963589956076e+001	(6.01994501407136e+000dB,-1.35759585445626e-003°)
8.91250938133741e+001	(6.01994501395645e+000dB,-1.38921832420224e-003°)
9.12010839355905e+001	(6.01994501383612e+000dB,-1.42157737589104e-003°)
9.33254300796986e+001	(6.01994501371012e+000dB,-1.45469016672010e-003°)
9.54992586021431e+001	(6.01994501357819e+000dB,-1.48857425352932e-003°)
9.77237220955805e+001	(6.01994501344004e+000dB,-1.52324760210996e-003°)
9.99999999999995e+001	(6.01994501329537e+000dB,-1.55872859673027e-003°)
1.02329299228075e+002	(6.01994501314388e+000dB,-1.59503604988316e-003°)
1.04712854805089e+002	(6.01994501298527e+000dB,-1.63218921226074e-003°)
1.07151930523760e+002	(6.01994501281917e+000dB,-1.67020778296137e-003°)
1.09647819614318e+002	(6.01994501264524e+000dB,-1.70911191993433e-003°)
1.12201845430196e+002	(6.01994501246311e+000dB,-1.74892225066785e-003°)
1.14815362149688e+002	(6.01994501227242e+000dB,-1.78965988312610e-003°)
1.17489755493952e+002	(6.01994501207272e+000dB,-1.83134641694086e-003°)
1.20226443461741e+002	(6.01994501186361e+000dB,-1.87400395486398e-003°)
1.23026877081237e+002	(6.01994501164465e+000dB,-1.91765511448650e-003°)
1.25892541179416e+002	(6.01994501141538e+000dB,-1.96232304023085e-003°)
1.28824955169313e+002	(6.01994501117529e+000dB,-2.00803141562229e-003°)
1.31825673855640e+002	(6.01994501092390e+000dB,-2.05480447584625e-003°)
1.34896288259165e+002	(6.01994501066065e+000dB,-2.10266702059811e-003°)
1.38038426460288e+002	(6.01994501038500e+000dB,-2.15164442723237e-003°)
1.41253754462275e+002	(6.01994501009634e+000dB,-2.20176266421804e-003°)
1.44543977074592e+002	(6.01994500979410e+000dB,-2.25304830490746e-003°)
1.47910838816820e+002	(6.01994500947760e+000dB,-2.30552854162583e-003°)
1.51356124843620e+002	(6.01994500914620e+000dB,-2.35923120008897e-003°)
1.54881661891247e+002	(6.01994500879917e+000dB,-2.41418475415685e-003°)
1.58489319246110e+002	(6.01994500843579e+000dB,-2.47041834093084e-003°)
1.62181009735892e+002	(6.01994500805527e+000dB,-2.52796177620255e-003°)
1.65958690743755e+002	(6.01994500765684e+000dB,-2.58684557026257e-003°)
1.69824365246173e+002	(6.01994500723962e+000dB,-2.64710094407743e-003°)
1.73780082874936e+002	(6.01994500680274e+000dB,-2.70875984584337e-003°)
1.77827941003891e+002	(6.01994500634527e+000dB,-2.77185496792569e-003°)
1.81970085860997e+002	(6.01994500586623e+000dB,-2.83641976419266e-003°)
1.86208713666286e+002	(6.01994500536462e+000dB,-2.90248846775324e-003°)
1.90546071796323e+002	(6.01994500483937e+000dB,-2.97009610910785e-003°)
1.94984459975803e+002	(6.01994500428937e+000dB,-3.03927853472210e-003°)
1.99526231496887e+002	(6.01994500371345e+000dB,-3.11007242603297e-003°)
2.04173794466952e+002	(6.01994500311038e+000dB,-3.18251531889783e-003°)
2.08929613085403e+002	(6.01994500247891e+000dB,-3.25664562349646e-003°)
2.13796208950222e+002	(6.01994500181765e+000dB,-3.33250264469658e-003°)
2.18776162394954e+002	(6.01994500112524e+000dB,-3.41012660289386e-003°)
2.23872113856832e+002	(6.01994500040019e+000dB,-3.48955865533727e-003°)
2.29086765276776e+002	(6.01994499964098e+000dB,-3.57084091795120e-003°)
2.34422881531991e+002	(6.01994499884598e+000dB,-3.65401648766587e-003°)
2.39883291901947e+002	(6.01994499801352e+000dB,-3.73912946526791e-003°)
2.45470891568501e+002	(6.01994499714184e+000dB,-3.82622497878315e-003°)
2.51188643150956e+002	(6.01994499622906e+000dB,-3.91534920740407e-003°)
2.57039578276885e+002	(6.01994499527326e+000dB,-4.00654940597467e-003°)
2.63026799189536e+002	(6.01994499427243e+000dB,-4.09987393004556e-003°)
2.69153480392690e+002	(6.01994499322441e+000dB,-4.19537226151271e-003°)
2.75422870333815e+002	(6.01994499212703e+000dB,-4.29309503485342e-003°)
2.81838293126443e+002	(6.01994499097791e+000dB,-4.39309406397334e-003°)
2.88403150312659e+002	(6.01994498977463e+000dB,-4.49542236967892e-003°)
2.95120922666637e+002	(6.01994498851465e+000dB,-4.60013420778971e-003°)
3.01995172040200e+002	(6.01994498719528e+000dB,-4.70728509790551e-003°)
3.09029543251357e+002	(6.01994498581375e+000dB,-4.81693185284356e-003°)
3.16227766016836e+002	(6.01994498436709e+000dB,-4.92913260876146e-003°)
3.23593656929626e+002	(6.01994498285226e+000dB,-5.04394685598170e-003°)
3.31131121482589e+002	(6.01994498126605e+000dB,-5.16143547053424e-003°)
3.38844156139200e+002	(6.01994497960505e+000dB,-5.28166074643366e-003°)
3.46736850452529e+002	(6.01994497786580e+000dB,-5.40468642870842e-003°)
3.54813389233573e+002	(6.01994497604458e+000dB,-5.53057774719913e-003°)
3.63078054770099e+002	(6.01994497413752e+000dB,-5.65940145114437e-003°)
3.71535229097170e+002	(6.01994497214058e+000dB,-5.79122584457194e-003°)
3.80189396320558e+002	(6.01994497004953e+000dB,-5.92612082251455e-003°)
3.89045144994278e+002	(6.01994496785993e+000dB,-6.06415790806907e-003°)
3.98107170553494e+002	(6.01994496556715e+000dB,-6.20541029031898e-003°)
4.07380277804110e+002	(6.01994496316630e+000dB,-6.34995286314018e-003°)
4.16869383470332e+002	(6.01994496065231e+000dB,-6.49786226491066e-003°)
4.26579518801589e+002	(6.01994495801983e+000dB,-6.64921691914514e-003°)
4.36515832240163e+002	(6.01994495526330e+000dB,-6.80409707607630e-003°)
4.46683592150960e+002	(6.01994495237685e+000dB,-6.96258485520433e-003°)
4.57088189614872e+002	(6.01994494935436e+000dB,-7.12476428883787e-003°)
4.67735141287195e+002	(6.01994494618943e+000dB,-7.29072136664891e-003°)
4.78630092322635e+002	(6.01994494287535e+000dB,-7.46054408126570e-003°)
4.89778819368443e+002	(6.01994493940507e+000dB,-7.63432247492741e-003°)
5.01187233627268e+002	(6.01994493577125e+000dB,-7.81214868722583e-003°)
5.12861383991361e+002	(6.01994493196616e+000dB,-7.99411700395880e-003°)
5.24807460249769e+002	(6.01994492798174e+000dB,-8.18032390712178e-003°)
5.37031796370249e+002	(6.01994492380955e+000dB,-8.37086812606385e-003°)
5.49540873857620e+002	(6.01994491944073e+000dB,-8.56585068983518e-003°)
5.62341325190345e+002	(6.01994491486602e+000dB,-8.76537498075388e-003°)
5.75439937337152e+002	(6.01994491007571e+000dB,-8.96954678922066e-003°)
5.88843655355584e+002	(6.01994490505963e+000dB,-9.17847436981014e-003°)
6.02559586074353e+002	(6.01994489980715e+000dB,-9.39226849866881e-003°)
6.16595001861477e+002	(6.01994489430713e+000dB,-9.61104253224985e-003°)
6.30957344480188e+002	(6.01994488854792e+000dB,-9.83491246741615e-003°)
6.45654229034650e+002	(6.01994488251727e+000dB,-1.00639970029433e-002°)
6.60693448007591e+002	(6.01994487620240e+000dB,-1.02984176024549e-002°)
6.76082975391976e+002	(6.01994486958992e+000dB,-1.05382985588244e-002°)
6.91830970918931e+002	(6.01994486266580e+000dB,-1.07837670600764e-002°)
7.07945784384132e+002	(6.01994485541537e+000dB,-1.10349532568233e-002°)
7.24435960074984e+002	(6.01994484782324e+000dB,-1.12919903312729e-002°)
7.41310241300911e+002	(6.01994483987328e+000dB,-1.15550145678430e-002°)
7.58577575029177e+002	(6.01994483154868e+000dB,-1.18241654254208e-002°)
7.76247116628685e+002	(6.01994482283173e+000dB,-1.20995856113063e-002°)
7.94328234724275e+002	(6.01994481370398e+000dB,-1.23814211568766e-002°)
8.12830516164092e+002	(6.01994480414604e+000dB,-1.26698214950139e-002°)
8.31763771102664e+002	(6.01994479413765e+000dB,-1.29649395393365e-002°)
8.51138038202369e+002	(6.01994478365759e+000dB,-1.32669317652751e-002°)
8.70963589956073e+002	(6.01994477268361e+000dB,-1.35759582930381e-002°)
8.91250938133738e+002	(6.01994476119243e+000dB,-1.38921829725091e-002°)
9.12010839355902e+002	(6.01994474915972e+000dB,-1.42157734701217e-002°)
9.33254300796983e+002	(6.01994473655990e+000dB,-1.45469013577583e-002°)
9.54992586021428e+002	(6.01994472336628e+000dB,-1.48857422037194e-002°)
9.77237220955802e+002	(6.01994470955086e+000dB,-1.52324756658118e-002°)
9.99999999999991e+002	(6.01994469508434e+000dB,-1.55872855866051e-002°)
1.02329299228075e+003	(6.01994467993603e+000dB,-1.59503600909067e-002°)
1.04712854805089e+003	(6.01994466407381e+000dB,-1.63218916855080e-002°)
1.07151930523760e+003	(6.01994464746402e+000dB,-1.67020773612532e-002°)
1.09647819614318e+003	(6.01994463007143e+000dB,-1.70911186974860e-002°)
1.12201845430195e+003	(6.01994461185916e+000dB,-1.74892219689288e-002°)
1.14815362149687e+003	(6.01994459278858e+000dB,-1.78965982550518e-002°)
1.17489755493952e+003	(6.01994457281922e+000dB,-1.83134635519894e-002°)
1.20226443461740e+003	(6.01994455190874e+000dB,-1.87400388870631e-002°)
1.23026877081237e+003	(6.01994453001278e+000dB,-1.91765504359728e-002°)
1.25892541179416e+003	(6.01994450708488e+000dB,-1.96232296427169e-002°)
1.28824955169312e+003	(6.01994448307645e+000dB,-2.00803133423058e-002°)
1.31825673855640e+003	(6.01994445793651e+000dB,-2.05480438863346e-002°)
1.34896288259164e+003	(6.01994443161177e+000dB,-2.10266692714792e-002°)
1.38038426460287e+003	(6.01994440404639e+000dB,-2.15164432709869e-002°)
1.41253754462274e+003	(6.01994437518189e+000dB,-2.20176255692287e-002°)
1.44543977074591e+003	(6.01994434495705e+000dB,-2.25304818993862e-002°)
1.47910838816819e+003	(6.01994431330775e+000dB,-2.30552841843449e-002°)
1.51356124843619e+003	(6.01994428016687e+000dB,-2.35923106808707e-002°)
1.54881661891247e+003	(6.01994424546411e+000dB,-2.41418461271428e-002°)
1.58489319246110e+003	(6.01994420912586e+000dB,-2.47041818937239e-002°)
1.62181009735891e+003	(6.01994417107504e+000dB,-2.52796161380474e-002°)
1.65958690743754e+003	(6.01994413123093e+000dB,-2.58684539625018e-002°)
1.69824365246173e+003	(6.01994408950904e+000dB,-2.64710075761980e-002°)
1.73780082874936e+003	(6.01994404582085e+000dB,-2.70875964605042e-002°)
1.77827941003891e+003	(6.01994400007371e+000dB,-2.77185475384369e-002°)
1.81970085860997e+003	(6.01994395217057e+000dB,-2.83641953479968e-002°)
1.86208713666285e+003	(6.01994390200981e+000dB,-2.90248822195422e-002°)
1.90546071796323e+003	(6.01994384948507e+000dB,-2.97009584572947e-002°)
1.94984459975803e+003	(6.01994379448490e+000dB,-3.03927825250708e-002°)
1.99526231496886e+003	(6.01994373689266e+000dB,-3.11007212363413e-002°)
2.04173794466951e+003	(6.01994367658617e+000dB,-3.18251499487164e-002°)
2.08929613085402e+003	(6.01994361343755e+000dB,-3.25664527629614e-002°)
2.13796208950221e+003	(6.01994354731280e+000dB,-3.33250227266474e-002°)
2.18776162394953e+003	(6.01994347807170e+000dB,-3.41012620425456e-002°)
2.23872113856832e+003	(6.01994340556736e+000dB,-3.48955822818757e-002°)
2.29086765276775e+003	(6.01994332964602e+000dB,-3.57084046025206e-002°)
2.34422881531990e+003	(6.01994325014660e+000dB,-3.65401599723242e-002°)
2.39883291901947e+003	(6.01994316690049e+000dB,-3.73912893975901e-002°)
2.45470891568501e+003	(6.01994307973111e+000dB,-3.82622441569021e-002°)
2.51188643150955e+003	(6.01994298845359e+000dB,-3.91534860403913e-002°)
2.57039578276884e+003	(6.01994289287426e+000dB,-4.00654875945750e-002°)
2.63026799189535e+003	(6.01994279279045e+000dB,-4.09987323728994e-002°)
2.69153480392689e+003	(6.01994268798982e+000dB,-4.19537151921170e-002°)
2.75422870333814e+003	(6.01994257825009e+000dB,-4.29309423946356e-002°)
2.81838293126442e+003	(6.01994246333849e+000dB,-4.39309321169777e-002°)
2.88403150312658e+003	(6.01994234301128e+000dB,-4.49542145644921e-002°)
2.95120922666635e+003	(6.01994221701322e+000dB,-4.60013322924647e-002°)
3.01995172040198e+003	(6.01994208507707e+000dB,-4.70728404937756e-002°)
3.09029543251356e+003	(6.01994194692296e+000dB,-4.81693072932564e-002°)
3.16227766016835e+003	(6.01994180225786e+000dB,-4.92913140489034e-002°)
3.23593656929625e+003	(6.01994165077489e+000dB,-5.04394556601059e-002°)
3.31131121482588e+003	(6.01994149215276e+000dB,-5.16143408830530e-002°)
