Freq.	V(vout)
1.94984459975804e+000	(-6.80440530294865e-004dB,-7.92807062143614e-006°)
1.99526231496888e+000	(-6.80440530183959e-004dB,-8.11273910922269e-006°)
2.04173794466953e+000	(-6.80440530066302e-004dB,-8.30170907866974e-006°)
2.08929613085404e+000	(-6.80440529936107e-004dB,-8.49508072415628e-006°)
2.13796208950223e+000	(-6.80440529806877e-004dB,-8.69295657388859e-006°)
2.18776162394955e+000	(-6.80440529673789e-004dB,-8.89544154426141e-006°)
2.23872113856834e+000	(-6.80440529530094e-004dB,-9.10264299548585e-006°)
2.29086765276777e+000	(-6.80440529377718e-004dB,-9.31467078851436e-006°)
2.34422881531992e+000	(-6.80440529220520e-004dB,-9.53163734328916e-006°)
2.39883291901949e+000	(-6.80440529053679e-004dB,-9.75365769834957e-006°)
2.45470891568503e+000	(-6.80440528882015e-004dB,-9.98084957182660e-006°)
2.51188643150958e+000	(-6.80440528702636e-004dB,-1.02133334238587e-005°)
2.57039578276886e+000	(-6.80440528516506e-004dB,-1.04512325204618e-005°)
2.63026799189538e+000	(-6.80440528315910e-004dB,-1.06946729988855e-005°)
2.69153480392691e+000	(-6.80440528107599e-004dB,-1.09437839344940e-005°)
2.75422870333816e+000	(-6.80440527891573e-004dB,-1.11986974092028e-005°)
2.81838293126445e+000	(-6.80440527667831e-004dB,-1.14595485815102e-005°)
2.88403150312660e+000	(-6.80440527426730e-004dB,-1.17264757581606e-005°)
2.95120922666638e+000	(-6.80440527177915e-004dB,-1.19996204674763e-005°)
3.01995172040201e+000	(-6.80440526917526e-004dB,-1.22791275343976e-005°)
3.09029543251359e+000	(-6.80440526642671e-004dB,-1.25651451572712e-005°)
3.16227766016837e+000	(-6.80440526358172e-004dB,-1.28578249864264e-005°)
3.23593656929628e+000	(-6.80440526058243e-004dB,-1.31573222045831e-005°)
3.31131121482591e+000	(-6.80440525749634e-004dB,-1.34637956091306e-005°)
3.38844156139202e+000	(-6.80440525417879e-004dB,-1.37774076963242e-005°)
3.46736850452531e+000	(-6.80440525074552e-004dB,-1.40983247474441e-005°)
3.54813389233575e+000	(-6.80440524713865e-004dB,-1.44267169169587e-005°)
3.63078054770101e+000	(-6.80440524335819e-004dB,-1.47627583227426e-005°)
3.71535229097172e+000	(-6.80440523943307e-004dB,-1.51066271383977e-005°)
3.80189396320560e+000	(-6.80440523528614e-004dB,-1.54585056877216e-005°)
3.89045144994280e+000	(-6.80440523095597e-004dB,-1.58185805413785e-005°)
3.98107170553496e+000	(-6.80440522643292e-004dB,-1.61870426158222e-005°)
4.07380277804112e+000	(-6.80440522165912e-004dB,-1.65640872745218e-005°)
4.16869383470335e+000	(-6.80440521669245e-004dB,-1.69499144315461e-005°)
4.26579518801592e+000	(-6.80440521148467e-004dB,-1.73447286575609e-005°)
4.36515832240165e+000	(-6.80440520605508e-004dB,-1.77487392882942e-005°)
4.46683592150962e+000	(-6.80440520034581e-004dB,-1.81621605355312e-005°)
4.57088189614874e+000	(-6.80440519438580e-004dB,-1.85852116006886e-005°)
4.67735141287197e+000	(-6.80440518812683e-004dB,-1.90181167910413e-005°)
4.78630092322637e+000	(-6.80440518156889e-004dB,-1.94611056386510e-005°)
4.89778819368445e+000	(-6.80440517470234e-004dB,-1.99144130220689e-005°)
5.01187233627271e+000	(-6.80440516749825e-004dB,-2.03782792908696e-005°)
5.12861383991364e+000	(-6.80440516001448e-004dB,-2.08529503930889e-005°)
5.24807460249771e+000	(-6.80440515213531e-004dB,-2.13386780056283e-005°)
5.37031796370252e+000	(-6.80440514388002e-004dB,-2.18357196676974e-005°)
5.49540873857623e+000	(-6.80440513523897e-004dB,-2.23443389173642e-005°)
5.62341325190348e+000	(-6.80440512621215e-004dB,-2.28648054312877e-005°)
5.75439937337156e+000	(-6.80440511674172e-004dB,-2.33973951677024e-005°)
5.88843655355588e+000	(-6.80440510682765e-004dB,-2.39423905127368e-005°)
6.02559586074356e+000	(-6.80440509642175e-004dB,-2.45000804301361e-005°)
6.16595001861481e+000	(-6.80440508556257e-004dB,-2.50707606144766e-005°)
6.30957344480192e+000	(-6.80440507419226e-004dB,-2.56547336479461e-005°)
6.45654229034654e+000	(-6.80440506225295e-004dB,-2.62523091607766e-005°)
6.60693448007594e+000	(-6.80440504979286e-004dB,-2.68638039954151e-005°)
6.76082975391980e+000	(-6.80440503669627e-004dB,-2.74895423745167e-005°)
6.91830970918935e+000	(-6.80440502302103e-004dB,-2.81298560728528e-005°)
7.07945784384136e+000	(-6.80440500868036e-004dB,-2.87850845932220e-005°)
7.24435960074988e+000	(-6.80440499368389e-004dB,-2.94555753464587e-005°)
7.41310241300916e+000	(-6.80440497797377e-004dB,-3.01416838356350e-005°)
7.58577575029182e+000	(-6.80440496151141e-004dB,-3.08437738445543e-005°)
7.76247116628690e+000	(-6.80440494424859e-004dB,-3.15622176306319e-005°)
7.94328234724279e+000	(-6.80440492626248e-004dB,-3.22973961222733e-005°)
8.12830516164097e+000	(-6.80440490736018e-004dB,-3.30496991208463e-005°)
8.31763771102669e+000	(-6.80440488755134e-004dB,-3.38195255073581e-005°)
8.51138038202374e+000	(-6.80440486683596e-004dB,-3.46072834539492e-005°)
8.70963589956078e+000	(-6.80440484516583e-004dB,-3.54133906403100e-005°)
8.91250938133743e+000	(-6.80440482244449e-004dB,-3.62382744751408e-005°)
9.12010839355907e+000	(-6.80440479864303e-004dB,-3.70823723227695e-005°)
9.33254300796988e+000	(-6.80440477375178e-004dB,-3.79461317350487e-005°)
9.54992586021433e+000	(-6.80440474767433e-004dB,-3.88300106886509e-005°)
9.77237220955808e+000	(-6.80440472038172e-004dB,-3.97344778278976e-005°)
9.99999999999997e+000	(-6.80440469178717e-004dB,-4.06600127132380e-005°)
1.02329299228075e+001	(-6.80440466182317e-004dB,-4.16071060755195e-005°)
1.04712854805090e+001	(-6.80440463048972e-004dB,-4.25762600761783e-005°)
1.07151930523760e+001	(-6.80440459761322e-004dB,-4.35679885734949e-005°)
1.09647819614318e+001	(-6.80440456328047e-004dB,-4.45828173950455e-005°)
1.12201845430196e+001	(-6.80440452724073e-004dB,-4.56212846165044e-005°)
1.14815362149688e+001	(-6.80440448958079e-004dB,-4.66839408469381e-005°)
1.17489755493953e+001	(-6.80440445007885e-004dB,-4.77713495207454e-005°)
1.20226443461741e+001	(-6.80440440875418e-004dB,-4.88840871964005e-005°)
1.23026877081238e+001	(-6.80440436550070e-004dB,-5.00227438621464e-005°)
1.25892541179416e+001	(-6.80440432016412e-004dB,-5.11879232488201e-005°)
1.28824955169313e+001	(-6.80440427269620e-004dB,-5.23802431499550e-005°)
1.31825673855640e+001	(-6.80440422301980e-004dB,-5.36003357493470e-005°)
1.34896288259165e+001	(-6.80440417099990e-004dB,-5.48488479562402e-005°)
1.38038426460288e+001	(-6.80440411648220e-004dB,-5.61264417483330e-005°)
1.41253754462275e+001	(-6.80440405944741e-004dB,-5.74337945227665e-005°)
1.44543977074592e+001	(-6.80440399967371e-004dB,-5.87715994552857e-005°)
1.47910838816820e+001	(-6.80440393711288e-004dB,-6.01405658677748e-005°)
1.51356124843620e+001	(-6.80440387162027e-004dB,-6.15414196043462e-005°)
1.54881661891248e+001	(-6.80440380304158e-004dB,-6.29749034161939e-005°)
1.58489319246111e+001	(-6.80440373121284e-004dB,-6.44417773554100e-005°)
1.62181009735892e+001	(-6.80440365604727e-004dB,-6.59428191779741e-005°)
1.65958690743755e+001	(-6.80440357723626e-004dB,-6.74788247561268e-005°)
1.69824365246174e+001	(-6.80440349477015e-004dB,-6.90506085003613e-005°)
1.73780082874937e+001	(-6.80440340837893e-004dB,-7.06590037912214e-005°)
1.77827941003892e+001	(-6.80440331800472e-004dB,-7.23048634211829e-005°)
1.81970085860998e+001	(-6.80440322328106e-004dB,-7.39890600468052e-005°)
1.86208713666286e+001	(-6.80440312415008e-004dB,-7.57124866514349e-005°)
1.90546071796324e+001	(-6.80440302032245e-004dB,-7.74760570186702e-005°)
1.94984459975804e+001	(-6.80440291161494e-004dB,-7.92807062168627e-005°)
1.99526231496887e+001	(-6.80440279774787e-004dB,-8.11273910949058e-005°)
2.04173794466952e+001	(-6.80440267853802e-004dB,-8.30170907895686e-005°)
2.08929613085403e+001	(-6.80440255374427e-004dB,-8.49508072446407e-005°)
2.13796208950222e+001	(-6.80440242303873e-004dB,-8.69295657421835e-005°)
2.18776162394954e+001	(-6.80440228617065e-004dB,-8.89544154461467e-005°)
2.23872113856833e+001	(-6.80440214285072e-004dB,-9.10264299586445e-005°)
2.29086765276776e+001	(-6.80440199279926e-004dB,-9.31467078892003e-005°)
2.34422881531991e+001	(-6.80440183561121e-004dB,-9.53163734372392e-005°)
2.39883291901948e+001	(-6.80440167109370e-004dB,-9.75365769881537e-005°)
2.45470891568502e+001	(-6.80440149879346e-004dB,-9.98084957232571e-005°)
2.51188643150957e+001	(-6.80440131836330e-004dB,-1.02133334243935e-004°)
2.57039578276885e+001	(-6.80440112943675e-004dB,-1.04512325210347e-004°)
2.63026799189537e+001	(-6.80440093160876e-004dB,-1.06946729994995e-004°)
2.69153480392690e+001	(-6.80440072444534e-004dB,-1.09437839351519e-004°)
2.75422870333815e+001	(-6.80440050758004e-004dB,-1.11986974099078e-004°)
2.81838293126444e+001	(-6.80440028040526e-004dB,-1.14595485822655e-004°)
2.88403150312659e+001	(-6.80440004256419e-004dB,-1.17264757589699e-004°)
2.95120922666637e+001	(-6.80439979348783e-004dB,-1.19996204683435e-004°)
3.01995172040200e+001	(-6.80439953270361e-004dB,-1.22791275353269e-004°)
3.09029543251358e+001	(-6.80439925966183e-004dB,-1.25651451582672e-004°)
3.16227766016837e+001	(-6.80439897368740e-004dB,-1.28578249874935e-004°)
3.23593656929627e+001	(-6.80439867427884e-004dB,-1.31573222057265e-004°)
3.31131121482590e+001	(-6.80439836070320e-004dB,-1.34637956103556e-004°)
3.38844156139201e+001	(-6.80439803240113e-004dB,-1.37774076976370e-004°)
