vin	Ix(U1:SOURCE)
5.900000000000003e-01	1.043589e-08
6.000000000000003e-01	1.320694e-08
6.100000000000003e-01	1.661427e-08
6.200000000000003e-01	2.076034e-08
6.300000000000003e-01	2.575070e-08
6.400000000000003e-01	3.169141e-08
6.500000000000004e-01	3.868674e-08
6.600000000000004e-01	4.683726e-08
6.700000000000004e-01	5.623841e-08
6.800000000000004e-01	6.697956e-08
6.900000000000004e-01	7.914354e-08
7.000000000000004e-01	9.280647e-08
7.100000000000004e-01	1.080379e-07
7.200000000000004e-01	1.249009e-07
7.300000000000004e-01	1.434528e-07
7.400000000000004e-01	1.637452e-07
7.500000000000004e-01	1.858248e-07
7.600000000000005e-01	2.097336e-07
7.700000000000005e-01	2.355092e-07
7.800000000000005e-01	2.631856e-07
7.900000000000005e-01	2.927933e-07
8.000000000000005e-01	3.243596e-07
8.100000000000005e-01	3.579089e-07
8.200000000000005e-01	3.934632e-07
8.300000000000005e-01	4.310422e-07
8.400000000000005e-01	4.706633e-07
8.500000000000005e-01	5.123422e-07
8.600000000000005e-01	5.560927e-07
8.700000000000006e-01	6.019270e-07
8.800000000000006e-01	6.498561e-07
8.900000000000006e-01	6.998895e-07
9.000000000000006e-01	7.520354e-07
9.100000000000006e-01	8.063012e-07
9.200000000000006e-01	8.626930e-07
9.300000000000006e-01	9.212160e-07
9.400000000000006e-01	9.818748e-07
9.500000000000006e-01	1.044673e-06
9.600000000000006e-01	1.109613e-06
9.700000000000006e-01	1.176698e-06
9.800000000000006e-01	1.245929e-06
9.900000000000007e-01	1.317307e-06
1.000000000000001e+00	1.390833e-06
1.010000000000001e+00	1.466506e-06
1.020000000000001e+00	1.544327e-06
1.030000000000001e+00	1.624294e-06
1.040000000000001e+00	1.706405e-06
1.050000000000001e+00	1.790660e-06
1.060000000000001e+00	1.877057e-06
1.070000000000001e+00	1.965592e-06
1.080000000000001e+00	2.056263e-06
1.090000000000001e+00	2.149068e-06
1.100000000000001e+00	2.244003e-06
1.110000000000001e+00	2.341065e-06
1.120000000000001e+00	2.440250e-06
1.130000000000001e+00	2.541554e-06
1.140000000000001e+00	2.644972e-06
1.150000000000001e+00	2.750502e-06
1.160000000000001e+00	2.858138e-06
1.170000000000001e+00	2.967876e-06
1.180000000000001e+00	3.079711e-06
1.190000000000001e+00	3.193638e-06
1.200000000000001e+00	3.309651e-06
1.210000000000001e+00	3.427746e-06
1.220000000000001e+00	3.547918e-06
1.230000000000001e+00	3.670160e-06
1.240000000000001e+00	3.794468e-06
1.250000000000001e+00	3.920836e-06
1.260000000000001e+00	4.049258e-06
1.270000000000001e+00	4.179728e-06
1.280000000000001e+00	4.312240e-06
1.290000000000001e+00	4.446788e-06
1.300000000000001e+00	4.583367e-06
1.310000000000001e+00	4.721970e-06
1.320000000000001e+00	4.862591e-06
1.330000000000001e+00	5.005224e-06
1.340000000000001e+00	5.149862e-06
1.350000000000001e+00	5.296500e-06
1.360000000000001e+00	5.445130e-06
1.370000000000001e+00	5.595747e-06
1.380000000000001e+00	5.748344e-06
1.390000000000001e+00	5.902914e-06
1.400000000000001e+00	6.059452e-06
1.410000000000001e+00	6.217950e-06
1.420000000000001e+00	6.378402e-06
1.430000000000001e+00	6.540802e-06
1.440000000000001e+00	6.705142e-06
1.450000000000001e+00	6.871417e-06
1.460000000000001e+00	7.039620e-06
1.470000000000001e+00	7.209743e-06
1.480000000000001e+00	7.381781e-06
1.490000000000001e+00	7.555726e-06
1.500000000000001e+00	7.731573e-06
1.510000000000001e+00	7.909313e-06
1.520000000000001e+00	8.088942e-06
1.530000000000001e+00	8.270452e-06
1.540000000000001e+00	8.453836e-06
1.550000000000001e+00	8.639087e-06
1.560000000000001e+00	8.826200e-06
1.570000000000001e+00	9.015168e-06
1.580000000000001e+00	9.205984e-06
1.590000000000001e+00	9.398640e-06
1.600000000000001e+00	9.593131e-06
1.610000000000001e+00	9.789450e-06
1.620000000000001e+00	9.987590e-06
1.630000000000001e+00	1.018754e-05
1.640000000000001e+00	1.038931e-05
1.650000000000001e+00	1.059287e-05
1.660000000000001e+00	1.079823e-05
1.670000000000001e+00	1.100538e-05
1.680000000000001e+00	1.121431e-05
1.690000000000001e+00	1.142501e-05
1.700000000000001e+00	1.163748e-05
1.710000000000001e+00	1.185172e-05
1.720000000000001e+00	1.206771e-05
1.730000000000001e+00	1.228545e-05
1.740000000000001e+00	1.250493e-05
1.750000000000001e+00	1.272614e-05
1.760000000000001e+00	1.294909e-05
1.770000000000001e+00	1.317376e-05
1.780000000000001e+00	1.340015e-05
1.790000000000001e+00	1.362825e-05
1.800000000000001e+00	1.385805e-05
1.810000000000001e+00	1.408955e-05
1.820000000000001e+00	1.432274e-05
1.830000000000001e+00	1.455761e-05
1.840000000000001e+00	1.479417e-05
1.850000000000001e+00	1.503239e-05
1.860000000000001e+00	1.527228e-05
1.870000000000001e+00	1.551384e-05
1.880000000000001e+00	1.575704e-05
1.890000000000001e+00	1.600189e-05
1.900000000000001e+00	1.624838e-05
