vin	Ix(U1:SOURCE)
0.000000000000000e+00	1.458765e-04
1.000000000000000e-02	1.453585e-04
2.000000000000000e-02	1.448408e-04
3.000000000000000e-02	1.443234e-04
4.000000000000000e-02	1.438063e-04
5.000000000000000e-02	1.432895e-04
6.000000000000000e-02	1.427731e-04
7.000000000000001e-02	1.422569e-04
8.000000000000000e-02	1.417411e-04
9.000000000000000e-02	1.412257e-04
9.999999999999999e-02	1.407105e-04
1.100000000000000e-01	1.401957e-04
1.200000000000000e-01	1.396813e-04
1.300000000000000e-01	1.391671e-04
1.400000000000000e-01	1.386534e-04
1.500000000000000e-01	1.381399e-04
1.600000000000000e-01	1.376268e-04
1.700000000000000e-01	1.371141e-04
1.800000000000000e-01	1.366017e-04
1.900000000000000e-01	1.360897e-04
2.000000000000000e-01	1.355780e-04
2.100000000000000e-01	1.350667e-04
2.200000000000001e-01	1.345558e-04
2.300000000000001e-01	1.340452e-04
2.400000000000001e-01	1.335350e-04
2.500000000000001e-01	1.330252e-04
2.600000000000001e-01	1.325157e-04
2.700000000000001e-01	1.320066e-04
2.800000000000001e-01	1.314979e-04
2.900000000000001e-01	1.309896e-04
3.000000000000001e-01	1.304817e-04
3.100000000000001e-01	1.299741e-04
3.200000000000001e-01	1.294670e-04
3.300000000000001e-01	1.289602e-04
3.400000000000001e-01	1.284539e-04
3.500000000000001e-01	1.279479e-04
3.600000000000002e-01	1.274424e-04
3.700000000000002e-01	1.269372e-04
3.800000000000002e-01	1.264325e-04
3.900000000000002e-01	1.259282e-04
4.000000000000002e-01	1.254242e-04
4.100000000000002e-01	1.249207e-04
4.200000000000002e-01	1.244177e-04
4.300000000000002e-01	1.239150e-04
4.400000000000002e-01	1.234128e-04
4.500000000000002e-01	1.229110e-04
4.600000000000002e-01	1.224096e-04
4.700000000000003e-01	1.219087e-04
4.800000000000003e-01	1.214082e-04
4.900000000000003e-01	1.209081e-04
5.000000000000002e-01	1.204085e-04
5.100000000000002e-01	1.199093e-04
5.200000000000002e-01	1.194106e-04
5.300000000000002e-01	1.189123e-04
5.400000000000003e-01	1.184145e-04
5.500000000000003e-01	1.179172e-04
5.600000000000003e-01	1.174203e-04
5.700000000000003e-01	1.169238e-04
5.800000000000003e-01	1.164279e-04
5.900000000000003e-01	1.159324e-04
6.000000000000003e-01	1.154374e-04
