time	V(vin)	V(vout)
0.000000000000000e+00	2.500000e+00	2.494916e+00
5.031553599973893e-05	2.500000e+00	2.494916e+00
1.015155359997402e-04	2.500000e+00	2.494916e+00
1.527155359997414e-04	2.500000e+00	2.494916e+00
2.039155359997427e-04	2.500000e+00	2.494916e+00
2.551155359997380e-04	2.500000e+00	2.494916e+00
3.063155359997114e-04	2.500000e+00	2.494916e+00
3.575155359996849e-04	2.500000e+00	2.494916e+00
4.087155359996584e-04	2.500000e+00	2.494916e+00
4.599155359996319e-04	2.500000e+00	2.494916e+00
5.111155359996301e-04	2.500000e+00	2.494916e+00
5.623155359996591e-04	2.500000e+00	2.494916e+00
6.135155359996881e-04	2.500000e+00	2.494916e+00
6.647155359997171e-04	2.500000e+00	2.494916e+00
7.159155359997461e-04	2.500000e+00	2.494916e+00
7.671155359997751e-04	2.500000e+00	2.494916e+00
8.183155359998041e-04	2.500000e+00	2.494916e+00
8.695155359998331e-04	2.500000e+00	2.494916e+00
9.207155359998621e-04	2.500000e+00	2.494916e+00
9.719155359998911e-04	2.500000e+00	2.494916e+00
9.762811737141919e-04	2.499841e+00	2.494916e+00
9.806468114284925e-04	2.499783e+00	2.494916e+00
9.850124491427932e-04	2.499824e+00	2.494916e+00
9.893780868570940e-04	2.499965e+00	2.494916e+00
9.937437245713947e-04	2.500207e+00	2.494917e+00
9.981093622856954e-04	2.500548e+00	2.494917e+00
1.002474999999996e-03	2.500990e+00	2.494918e+00
1.022974999999963e-03	2.509190e+00	2.495060e+00
1.074174999999881e-03	2.529670e+00	2.496349e+00
1.078610714285611e-03	2.531755e+00	2.496520e+00
1.083046428571341e-03	2.533637e+00	2.496697e+00
1.087482142857072e-03	2.535315e+00	2.496883e+00
1.091917857142802e-03	2.536791e+00	2.497075e+00
1.096353571428532e-03	2.538064e+00	2.497275e+00
1.100789285714262e-03	2.539133e+00	2.497483e+00
1.105224999999992e-03	2.540000e+00	2.497698e+00
1.125224999999960e-03	2.540000e+00	2.498637e+00
1.176424999999878e-03	2.540000e+00	2.500950e+00
1.227624999999796e-03	2.540000e+00	2.503132e+00
1.278824999999714e-03	2.540000e+00	2.505188e+00
1.330024999999632e-03	2.540000e+00	2.507122e+00
1.381224999999550e-03	2.540000e+00	2.508940e+00
1.432424999999468e-03	2.540000e+00	2.510648e+00
1.483624999999386e-03	2.540000e+00	2.512249e+00
1.534824999999304e-03	2.540000e+00	2.513751e+00
1.586024999999222e-03	2.540000e+00	2.515158e+00
1.637224999999140e-03	2.540000e+00	2.516475e+00
1.688424999999058e-03	2.540000e+00	2.517707e+00
1.739624999998975e-03	2.540000e+00	2.518860e+00
1.790824999998893e-03	2.540000e+00	2.519937e+00
1.842024999998811e-03	2.540000e+00	2.520943e+00
1.893224999998729e-03	2.540000e+00	2.521883e+00
1.944424999998647e-03	2.540000e+00	2.522761e+00
1.995624999998750e-03	2.540000e+00	2.523581e+00
2.046824999998890e-03	2.540000e+00	2.524345e+00
2.098024999999030e-03	2.540000e+00	2.525059e+00
2.149224999999170e-03	2.540000e+00	2.525724e+00
2.200424999999310e-03	2.540000e+00	2.526345e+00
2.251624999999450e-03	2.540000e+00	2.526924e+00
2.302824999999590e-03	2.540000e+00	2.527464e+00
2.354024999999730e-03	2.540000e+00	2.527967e+00
2.405224999999870e-03	2.540000e+00	2.528436e+00
2.456425000000010e-03	2.540000e+00	2.528873e+00
2.507625000000150e-03	2.540000e+00	2.529280e+00
2.558825000000290e-03	2.540000e+00	2.529660e+00
2.610025000000430e-03	2.540000e+00	2.530014e+00
2.661225000000570e-03	2.540000e+00	2.530344e+00
2.712425000000710e-03	2.540000e+00	2.530651e+00
2.763625000000850e-03	2.540000e+00	2.530937e+00
2.814825000000990e-03	2.540000e+00	2.531203e+00
2.866025000001130e-03	2.540000e+00	2.531451e+00
2.917225000001270e-03	2.540000e+00	2.531683e+00
2.968425000001410e-03	2.540000e+00	2.531898e+00
3.019625000001550e-03	2.540000e+00	2.532099e+00
3.070825000001690e-03	2.540000e+00	2.532286e+00
3.122025000001830e-03	2.540000e+00	2.532460e+00
3.173225000001970e-03	2.540000e+00	2.532622e+00
3.224425000002110e-03	2.540000e+00	2.532773e+00
3.275625000002250e-03	2.540000e+00	2.532914e+00
3.326825000002390e-03	2.540000e+00	2.533045e+00
3.378025000002530e-03	2.540000e+00	2.533167e+00
3.429225000002670e-03	2.540000e+00	2.533280e+00
3.480425000002810e-03	2.540000e+00	2.533386e+00
3.531625000002950e-03	2.540000e+00	2.533485e+00
3.582825000003090e-03	2.540000e+00	2.533576e+00
3.634025000003230e-03	2.540000e+00	2.533662e+00
3.685225000003370e-03	2.540000e+00	2.533741e+00
3.736425000003510e-03	2.540000e+00	2.533816e+00
3.787625000003650e-03	2.540000e+00	2.533885e+00
3.838825000003791e-03	2.540000e+00	2.533949e+00
3.890025000003931e-03	2.540000e+00	2.534009e+00
3.941225000003767e-03	2.540000e+00	2.534064e+00
3.992425000003463e-03	2.540000e+00	2.534116e+00
4.043625000003159e-03	2.540000e+00	2.534164e+00
4.094825000002855e-03	2.540000e+00	2.534209e+00
4.146025000002551e-03	2.540000e+00	2.534251e+00
4.197225000002247e-03	2.540000e+00	2.534291e+00
4.248425000001943e-03	2.540000e+00	2.534327e+00
4.299625000001639e-03	2.540000e+00	2.534361e+00
4.350825000001335e-03	2.540000e+00	2.534392e+00
4.402025000001031e-03	2.540000e+00	2.534421e+00
4.453225000000727e-03	2.540000e+00	2.534449e+00
4.504425000000423e-03	2.540000e+00	2.534474e+00
4.555625000000119e-03	2.540000e+00	2.534498e+00
4.606824999999815e-03	2.540000e+00	2.534520e+00
4.658024999999510e-03	2.540000e+00	2.534540e+00
4.709224999999206e-03	2.540000e+00	2.534559e+00
4.760424999998902e-03	2.540000e+00	2.534577e+00
4.811624999998598e-03	2.540000e+00	2.534594e+00
4.862824999998294e-03	2.540000e+00	2.534609e+00
4.914024999997990e-03	2.540000e+00	2.534624e+00
4.965224999997686e-03	2.540000e+00	2.534637e+00
5.016424999997382e-03	2.540000e+00	2.534650e+00
5.067624999997078e-03	2.540000e+00	2.534661e+00
5.118824999996774e-03	2.540000e+00	2.534672e+00
5.170024999996470e-03	2.540000e+00	2.534682e+00
5.221224999996166e-03	2.540000e+00	2.534691e+00
5.272424999995862e-03	2.540000e+00	2.534700e+00
5.323624999995558e-03	2.540000e+00	2.534708e+00
5.374824999995254e-03	2.540000e+00	2.534716e+00
5.426024999994949e-03	2.540000e+00	2.534723e+00
5.477224999994645e-03	2.540000e+00	2.534729e+00
5.528424999994341e-03	2.540000e+00	2.534735e+00
5.579624999994037e-03	2.540000e+00	2.534741e+00
5.630824999993733e-03	2.540000e+00	2.534746e+00
5.682024999993429e-03	2.540000e+00	2.534751e+00
5.733224999993125e-03	2.540000e+00	2.534756e+00
5.784424999992821e-03	2.540000e+00	2.534760e+00
5.835624999992517e-03	2.540000e+00	2.534764e+00
5.886824999992213e-03	2.540000e+00	2.534768e+00
5.938024999991909e-03	2.540000e+00	2.534771e+00
5.989224999991605e-03	2.540000e+00	2.534775e+00
6.040424999991301e-03	2.540000e+00	2.534778e+00
6.091624999990997e-03	2.540000e+00	2.534781e+00
6.142824999990693e-03	2.540000e+00	2.534783e+00
6.194024999990388e-03	2.540000e+00	2.534786e+00
6.245224999990084e-03	2.540000e+00	2.534788e+00
6.296424999989780e-03	2.540000e+00	2.534790e+00
6.347624999989476e-03	2.540000e+00	2.534792e+00
6.398824999989172e-03	2.540000e+00	2.534794e+00
6.450024999988868e-03	2.540000e+00	2.534795e+00
6.501224999988564e-03	2.540000e+00	2.534797e+00
6.552424999988260e-03	2.540000e+00	2.534798e+00
6.603624999987956e-03	2.540000e+00	2.534800e+00
6.654824999987652e-03	2.540000e+00	2.534801e+00
6.706024999987348e-03	2.540000e+00	2.534802e+00
6.757224999987044e-03	2.540000e+00	2.534803e+00
6.808424999986740e-03	2.540000e+00	2.534804e+00
6.859624999986436e-03	2.540000e+00	2.534805e+00
6.910824999986132e-03	2.540000e+00	2.534806e+00
6.962024999985827e-03	2.540000e+00	2.534807e+00
6.967767857130707e-03	2.540144e+00	2.534807e+00
6.973510714275587e-03	2.540198e+00	2.534807e+00
6.979253571420467e-03	2.540161e+00	2.534807e+00
6.984996428565348e-03	2.540034e+00	2.534807e+00
6.990739285710227e-03	2.539816e+00	2.534807e+00
6.996482142855107e-03	2.539508e+00	2.534807e+00
7.002224999999987e-03	2.539110e+00	2.534806e+00
7.013074999999922e-03	2.534770e+00	2.534760e+00
7.064274999999618e-03	2.514290e+00	2.533699e+00
7.069846428571099e-03	2.511852e+00	2.533502e+00
7.075417857142579e-03	2.509546e+00	2.533292e+00
7.080989285714059e-03	2.507373e+00	2.533068e+00
7.086560714285540e-03	2.505331e+00	2.532830e+00
7.092132142857021e-03	2.503422e+00	2.532579e+00
7.097703571428500e-03	2.501645e+00	2.532314e+00
7.103274999999981e-03	2.500000e+00	2.532036e+00
7.115324999999909e-03	2.500000e+00	2.531441e+00
7.166524999999605e-03	2.500000e+00	2.529011e+00
7.217724999999301e-03	2.500000e+00	2.526730e+00
7.268924999998997e-03	2.500000e+00	2.524591e+00
7.320124999998693e-03	2.500000e+00	2.522588e+00
7.371324999998389e-03	2.500000e+00	2.520714e+00
7.422524999998085e-03	2.500000e+00	2.518961e+00
7.473724999997781e-03	2.500000e+00	2.517323e+00
7.524924999997477e-03	2.500000e+00	2.515794e+00
7.576124999997173e-03	2.500000e+00	2.514366e+00
7.627324999996869e-03	2.500000e+00	2.513034e+00
7.678524999996565e-03	2.500000e+00	2.511792e+00
7.729724999996261e-03	2.500000e+00	2.510633e+00
7.780924999995957e-03	2.500000e+00	2.509554e+00
7.832124999995653e-03	2.500000e+00	2.508548e+00
7.883324999995349e-03	2.500000e+00	2.507610e+00
7.934524999995045e-03	2.500000e+00	2.506736e+00
7.985724999994741e-03	2.500000e+00	2.505922e+00
8.036924999994437e-03	2.500000e+00	2.505164e+00
8.088124999994133e-03	2.500000e+00	2.504459e+00
8.139324999993829e-03	2.500000e+00	2.503801e+00
8.190524999993525e-03	2.500000e+00	2.503189e+00
8.241724999993221e-03	2.500000e+00	2.502619e+00
8.292924999992917e-03	2.500000e+00	2.502088e+00
8.344124999992613e-03	2.500000e+00	2.501594e+00
8.395324999992309e-03	2.500000e+00	2.501134e+00
8.446524999992005e-03	2.500000e+00	2.500705e+00
