Freq.	V,vout
5.12861383991364e+000	,-6.80440540489569e-004,-7.46825871589654e-005
5.24807460249771e+000	,-6.80440540858936e-004,-7.64221680851243e-005
5.37031796370252e+000	,-6.80440541241804e-004,-7.82022690563650e-005
5.49540873857623e+000	,-6.80440541641067e-004,-8.00238339057840e-005
5.62341325190348e+000	,-6.80440542060582e-004,-8.18878284511765e-005
5.75439937337156e+000	,-6.80440542502278e-004,-8.37952410071223e-005
5.88843655355588e+000	,-6.80440542966156e-004,-8.57470829090062e-005
6.02559586074356e+000	,-6.80440543450287e-004,-8.77443890492397e-005
6.16595001861481e+000	,-6.80440543950812e-004,-8.97882184259751e-005
6.30957344480192e+000	,-6.80440544482198e-004,-9.18796547046014e-005
6.45654229034654e+000	,-6.80440545034801e-004,-9.40198067923162e-005
6.60693448007594e+000	,-6.80440545617300e-004,-9.62098094260843e-005
6.76082975391980e+000	,-6.80440546226803e-004,-9.84508237742895e-005
6.91830970918935e+000	,-6.80440546864273e-004,-1.00744038052402e-004
7.07945784384136e+000	,-6.80440547529711e-004,-1.03090668152986e-004
7.24435960074988e+000	,-6.80440548227939e-004,-1.05491958290381e-004
7.41310241300916e+000	,-6.80440548959921e-004,-1.07949181660403e-004
7.58577575029182e+000	,-6.80440549727586e-004,-1.10463641115407e-004
7.76247116628690e+000	,-6.80440550526112e-004,-1.13036669855076e-004
7.94328234724279e+000	,-6.80440551367071e-004,-1.15669632133308e-004
8.12830516164097e+000	,-6.80440552246606e-004,-1.18363923981551e-004
8.31763771102669e+000	,-6.80440553166647e-004,-1.21120973949007e-004
8.51138038202374e+000	,-6.80440554131050e-004,-1.23942243860060e-004
8.70963589956078e+000	,-6.80440555144638e-004,-1.26829229589361e-004
8.91250938133743e+000	,-6.80440556196801e-004,-1.29783461854955e-004
9.12010839355907e+000	,-6.80440557306829e-004,-1.32806507029893e-004
9.33254300796988e+000	,-6.80440558463148e-004,-1.35899967972739e-004
9.54992586021433e+000	,-6.80440559677332e-004,-1.39065484877431e-004
9.77237220955808e+000	,-6.80440560949379e-004,-1.42304736142931e-004
9.99999999999997e+000	,-6.80440562281220e-004,-1.45619439263134e-004
1.02329299228075e+001	,-6.80440563676711e-004,-1.49011351737508e-004
1.04712854805090e+001	,-6.80440565135853e-004,-1.52482272002942e-004
1.07151930523760e+001	,-6.80440566660574e-004,-1.56034040387302e-004
1.09647819614318e+001	,-6.80440568259554e-004,-1.59668540085197e-004
1.12201845430196e+001	,-6.80440569937615e-004,-1.63387698156473e-004
1.14815362149688e+001	,-6.80440571687042e-004,-1.67193486547964e-004
1.17489755493953e+001	,-6.80440573526159e-004,-1.71087923139050e-004
1.20226443461741e+001	,-6.80440575452072e-004,-1.75073072811555e-004
1.23026877081238e+001	,-6.80440577468638e-004,-1.79151048544584e-004
1.25892541179416e+001	,-6.80440579573930e-004,-1.83324012534845e-004
1.28824955169313e+001	,-6.80440581782413e-004,-1.87594177343078e-004
