Freq.	V(v1)	V(vb)	V(vout)
2.13796208950223e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68343701322754e-005dB,-8.54616961075165e-003°)
2.18776162394955e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68300918711101e-005dB,-8.74523547075066e-003°)
2.23872113856834e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68256119834250e-005dB,-8.94893817009158e-003°)
2.29086765276777e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68209209552051e-005dB,-9.15738571462322e-003°)
2.34422881531992e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68160088616339e-005dB,-9.37068862597276e-003°)
2.39883291901949e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68108652533030e-005dB,-9.58896000014573e-003°)
2.45470891568503e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68054792449295e-005dB,-9.81231556749087e-003°)
2.51188643150958e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67998393957805e-005dB,-1.00408737540618e-002°)
2.57039578276886e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67939337463169e-005dB,-1.02747557444079e-002°)
2.63026799189538e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67877497776919e-005dB,-1.05140855458279e-002°)
2.69153480392691e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67812743654638e-005dB,-1.07589900541202e-002°)
2.75422870333816e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67744937795956e-005dB,-1.10095991208642e-002°)
